Timestamp,Value
Sep 2015,38.2
Oct 2015,76.4
Nov 2015,217.2
Dec 2015,372.6
Jan 2016,232.6
Feb 2016,179.6
Mar 2016,60.6
Apr 2016,96.4
May 2016,72.8
Jun 2016,100.6
Jul 2016,98
Aug 2016,90.2
Sep 2016,132
Oct 2016,51.4
Nov 2016,56.2
Dec 2016,94.8
Jan 2017,53.4
Feb 2017,105.8
Mar 2017,118.2
Apr 2017,23.6
May 2017,67.6
Jun 2017,179.8
Jul 2017,113.2
Aug 2017,116.8
Sep 2017,125.2
Oct 2017,117.8
Nov 2017,87.4
Dec 2017,96.6
Jan 2018,190
Feb 2018,71
Mar 2018,65
Apr 2018,95.2
May 2018,49.2
Jun 2018,69.4
Jul 2018,67.8
Aug 2018,104.2
Sep 2018,104
Oct 2018,103.8
Nov 2018,188.2
Dec 2018,123.4
Jan 2019,36.6
Feb 2019,114.8
Mar 2019,186.6
Apr 2019,43.4
May 2019,39.8
Jun 2019,92.2
Jul 2019,110.2
Aug 2019,220.6
Sep 2019,177.2
Oct 2019,93
Nov 2019,93.6
Dec 2019,136.2
Jan 2020,166.8
Feb 2020,252.2
Mar 2020,73.4
Apr 2020,13.4
May 2020,19
Jun 2020,114.8
Jul 2020,148.6
Aug 2020,155.4
Sep 2020,78.4
Oct 2020,158
Nov 2020,139.4
Dec 2020,147.4
Jan 2021,99.6
Feb 2021,152
Mar 2021,127.2
Apr 2021,16.8
May 2021,115.4
Jun 2021,31.8
Jul 2021,59.4
Aug 2021,62.4
Sep 2021,102.8
Oct 2021,255.2
Nov 2021,56.2
Dec 2021,102
Jan 2022,56.6
Feb 2022,200
Mar 2022,45.2
Apr 2022,26.2
May 2022,88.8
Jun 2022,80.6
Jul 2022,57
Aug 2022,65
Sep 2022,118.8
Oct 2022,198.2
Nov 2022,204.2
Dec 2022,144.6
Jan 2023,136
Feb 2023,33.2
Mar 2023,155
Apr 2023,56.6
May 2023,20.8
Jun 2023,39.6
Jul 2023,146.8
Aug 2023,75.6
Sep 2023,171.6
Oct 2023,67.4
Nov 2023,94.2
Dec 2023,188.4
Jan 2024,149.4
Feb 2024,117.8
Mar 2024,139.2
Apr 2024,163.2
May 2024,89.8
Jun 2024,62.8
Jul 2024,58.8
Aug 2024,262
Sep 2024,24.6
Oct 2024,103.6
Nov 2024,80.2
Dec 2024,147.8
Jan 2025,71.8
Feb 2025,95
Mar 2025,28
Apr 2025,35.4
May 2025,75.2
Jun 2025,100.2
Jul 2025,88.8
Aug 2025,64.6
