Timestamp,Value
Jun 2015,69.4
Jul 2015,92.8
Aug 2015,58.6
Sep 2015,29.4
Oct 2015,44.8
Nov 2015,145.2
Dec 2015,264.8
Jan 2016,133.8
Feb 2016,74.6
Mar 2016,52.2
Apr 2016,41.6
May 2016,57.6
Jun 2016,106.6
Jul 2016,76.4
Aug 2016,51
Sep 2016,64.6
Oct 2016,31
Nov 2016,50.6
Dec 2016,101.4
Jan 2017,36
Feb 2017,69
Mar 2017,74.4
Apr 2017,27.6
May 2017,36.4
Jun 2017,76.8
Jul 2017,58.6
Aug 2017,57.2
Sep 2017,83.4
Oct 2017,78.6
Nov 2017,74.8
Dec 2017,42.8
Jan 2018,93.2
Feb 2018,38.4
Mar 2018,24.6
Apr 2018,40.4
May 2018,26.4
Jun 2018,37
Jul 2018,39.4
Aug 2018,44.8
Sep 2018,124.8
Oct 2018,86.6
Nov 2018,65.8
Dec 2018,73.4
Jan 2019,48
Feb 2019,34.4
Mar 2019,111.6
Apr 2019,27
May 2019,98.4
Jun 2019,55.8
Jul 2019,69.8
Aug 2019,115.2
Sep 2019,48.4
Oct 2019,91.6
Nov 2019,75.2
Dec 2019,92.6
Jan 2020,129.8
Feb 2020,227.6
Mar 2020,49
Apr 2020,16.8
May 2020,34
Jun 2020,99.8
Jul 2020,107.8
Aug 2020,48.2
Sep 2020,72.4
Oct 2020,162.6
Nov 2020,75
Dec 2020,130.8
Jan 2021,80.4
Feb 2021,75.4
Mar 2021,96.2
Apr 2021,31
May 2021,115
Jun 2021,24.4
Jul 2021,128.6
Aug 2021,35.2
Sep 2021,87.2
Oct 2021,112.4
Nov 2021,63.6
Dec 2021,87.4
Jan 2022,77.6
Feb 2022,160
Mar 2022,57.8
Apr 2022,53.8
May 2022,58.6
Jun 2022,33.4
Jul 2022,68
Aug 2022,44.4
Sep 2022,63.2
Oct 2022,118.6
Nov 2022,69.2
Dec 2022,53.2
Jan 2023,87.6
Feb 2023,60.8
Mar 2023,64
Apr 2023,38.6
May 2023,31
Jun 2023,36
Jul 2023,97.2
Aug 2023,70.4
Sep 2023,116.8
Oct 2023,138.8
Nov 2023,46.8
Dec 2023,116.2
Jan 2024,96
Feb 2024,89.4
Mar 2024,59.6
Apr 2024,101.6
May 2024,79.4
Jun 2024,56.6
Jul 2024,60.2
Aug 2024,73.4
Sep 2024,51
Oct 2024,74.4
Nov 2024,38.4
Dec 2024,163
Jan 2025,36.4
Feb 2025,55.2
Mar 2025,51.4
Apr 2025,37
May 2025,6.6
