Timestamp,Value
Jun 2015,70.6
Jul 2015,85.4
Aug 2015,73.8
Sep 2015,59.4
Oct 2015,43.8
Nov 2015,59
Dec 2015,108
Jan 2016,95
Feb 2016,71.4
Mar 2016,47.2
Apr 2016,84.8
May 2016,33.2
Jun 2016,91.8
Jul 2016,80.4
Aug 2016,73.8
Sep 2016,57
Oct 2016,46.8
Nov 2016,75.6
Dec 2016,56.2
Jan 2017,52
Feb 2017,46.8
Mar 2017,44.4
Apr 2017,61.2
May 2017,41.8
Jun 2017,126.6
Jul 2017,47.6
Aug 2017,80
Sep 2017,127.4
Oct 2017,65
Nov 2017,131.2
Dec 2017,49.8
Jan 2018,51.4
Feb 2018,40
Mar 2018,46.6
Apr 2018,40.8
May 2018,23
Jun 2018,31.4
Jul 2018,39.2
Aug 2018,43.4
Sep 2018,87
Oct 2018,89
Nov 2018,43.2
Dec 2018,39.2
Jan 2019,67.8
Feb 2019,53.2
Mar 2019,111.4
Apr 2019,73
May 2019,139.2
Jun 2019,72
Jul 2019,93.8
Aug 2019,144
Sep 2019,63
Oct 2019,75.2
Nov 2019,100.2
Dec 2019,69.6
Jan 2020,47
Feb 2020,122.4
Mar 2020,33.8
Apr 2020,18.8
May 2020,43.4
Jun 2020,82.4
Jul 2020,88.6
Aug 2020,46
Sep 2020,65.8
Oct 2020,152.8
Nov 2020,41
Dec 2020,147.2
Jan 2021,109.2
Feb 2021,25.2
Mar 2021,58.8
Apr 2021,47
May 2021,121.6
Jun 2021,14.8
Jul 2021,112
Aug 2021,71.2
Sep 2021,69.4
Oct 2021,96.4
Nov 2021,108.6
Dec 2021,69.4
Jan 2022,45
Feb 2022,101.6
Mar 2022,27.4
Apr 2022,95.4
May 2022,67.6
Jun 2022,26.4
Jul 2022,69.2
Aug 2022,50.6
Sep 2022,109.4
Oct 2022,62
Nov 2022,50.2
Dec 2022,47.4
Jan 2023,71
Feb 2023,51.6
Mar 2023,87.8
Apr 2023,45.6
May 2023,42.2
Jun 2023,47.6
Jul 2023,102.2
Aug 2023,65.4
Sep 2023,97.4
Oct 2023,160.8
Nov 2023,84.4
Dec 2023,149.2
Jan 2024,71.2
Feb 2024,80.8
Mar 2024,63.2
Apr 2024,98.8
May 2024,50.6
Jun 2024,87.2
Jul 2024,71.8
Aug 2024,51.8
Sep 2024,92.8
Oct 2024,72.6
Nov 2024,36.8
Dec 2024,179.2
Jan 2025,76.4
Feb 2025,13.2
Mar 2025,43.6
Apr 2025,17.2
May 2025,16
