Timestamp,Value
Sep 2015,55.6
Oct 2015,187.2
Nov 2015,432.4
Dec 2015,772.6
Jan 2016,427.8
Feb 2016,251.4
Mar 2016,132
Apr 2016,137.2
May 2016,152.2
Jun 2016,94.2
Jul 2016,137.4
Aug 2016,149.8
Sep 2016,374.4
Oct 2016,87.4
Nov 2016,118.4
Dec 2016,275.2
Jan 2017,50.6
Feb 2017,0
Mar 2017,0
Apr 2017,0
May 2017,44
Jun 2017,202
Jul 2017,144.2
Aug 2017,210.2
Sep 2017,209.2
Oct 2017,81.4
Nov 2017,4
Dec 2017,199.4
Jan 2018,293.8
Feb 2018,34.6
Mar 2018,105.2
Apr 2018,148.8
May 2018,75.8
Jun 2018,140.8
Jul 2018,103.8
Aug 2018,124.8
Sep 2018,309.8
Oct 2018,260
Nov 2018,469.4
Dec 2018,209.4
Jan 2019,94.8
Feb 2019,209.8
Mar 2019,296.4
Apr 2019,94
May 2019,101.2
Jun 2019,151.6
Jul 2019,162.8
Aug 2019,330.2
Sep 2019,184
Oct 2019,290.4
Nov 2019,69.4
Dec 2019,412
Jan 2020,481
Feb 2020,446.2
Mar 2020,253.6
Apr 2020,45.8
May 2020,156
Jun 2020,209.4
Jul 2020,164.2
Aug 2020,176.4
Sep 2020,217.2
Oct 2020,403
Nov 2020,376
Dec 2020,313
Jan 2021,75.6
Feb 2021,282.6
Mar 2021,292.8
Apr 2021,42.8
May 2021,155.6
Jun 2021,59.8
Jul 2021,66.8
Aug 2021,138.2
Sep 2021,124.8
Oct 2021,378.2
Nov 2021,159
Dec 2021,186
Jan 2022,186.6
Feb 2022,413.8
Mar 2022,135.6
Apr 2022,92.6
May 2022,233.2
Jun 2022,168.8
Jul 2022,102.4
Aug 2022,103.2
Sep 2022,202.4
Oct 2022,457.2
Nov 2022,428.7
Dec 2022,174.2
Jan 2023,304.3
Feb 2023,165
Mar 2023,170.4
Apr 2023,107
May 2023,41.6
Jun 2023,90.4
Jul 2023,215.2
Aug 2023,109
Sep 2023,312.2
Oct 2023,357.8
Nov 2023,165.8
Dec 2023,310.4
Jan 2024,322.2
Feb 2024,266.6
Mar 2024,203
Apr 2024,208.8
May 2024,127.8
Jun 2024,136.3
Jul 2024,107.4
Aug 2024,342
Sep 2024,62.2
Oct 2024,181.6
Nov 2024,134.4
Dec 2024,425.2
Jan 2025,150.2
Feb 2025,273.4
Mar 2025,147.8
Apr 2025,79.8
May 2025,143
Jun 2025,174.6
Jul 2025,111.8
Aug 2025,137.8
