Timestamp,Value
Sep 2015,18
Oct 2015,31.6
Nov 2015,108.4
Dec 2015,128
Jan 2016,78.6
Feb 2016,53.4
Mar 2016,36
Apr 2016,47
May 2016,41
Jun 2016,51.2
Jul 2016,60.2
Aug 2016,46.2
Sep 2016,66.6
Oct 2016,28.8
Nov 2016,26

Jan 2017,3.6
Feb 2017,54
Mar 2017,72.4
Apr 2017,28
May 2017,30
Jun 2017,95.8
Jul 2017,52.4
Aug 2017,104
Sep 2017,69.8
Oct 2017,78.2
Nov 2017,138.6
Dec 2017,53.4
Jan 2018,146.8
Feb 2018,37.6
Mar 2018,88.6
Apr 2018,38.6
May 2018,23.8
Jun 2018,28.4
Jul 2018,55
Aug 2018,44.2
Sep 2018,79.6
Oct 2018,77.6
Nov 2018,36.4
Dec 2018,48.8
Jan 2019,67.4
Feb 2019,31.6
Mar 2019,116.4
Apr 2019,34.8
May 2019,90.6
Jun 2019,73.4
Jul 2019,142
Aug 2019,145.8
Sep 2019,60.4
Oct 2019,69.8
Nov 2019,131
Dec 2019,78
Jan 2020,96
Feb 2020,196.2
Mar 2020,52.6
Apr 2020,23.6
May 2020,43.8
Jun 2020,100
Jul 2020,54
Aug 2020,27.2
Sep 2020,74.6
Oct 2020,160.8
Nov 2020,48.4
Dec 2020,127.8
Jan 2021,82.2
Feb 2021,28.2
Mar 2021,70.4
Apr 2021,32.8
May 2021,126.8
Jun 2021,13
Jul 2021,91
Aug 2021,45.2
Sep 2021,59.4
Oct 2021,91.6
Nov 2021,65.6
Dec 2021,53
Jan 2022,45.2
Feb 2022,122.6
Mar 2022,22.2
Apr 2022,72.6
May 2022,63
Jun 2022,21.8
Jul 2022,67.2
Aug 2022,43
Sep 2022,56.2
Oct 2022,71.6
Nov 2022,50.8
Dec 2022,53.8
Jan 2023,89.4
Feb 2023,48.6
Mar 2023,78
Apr 2023,43.6
May 2023,19.6
Jun 2023,52.8
Jul 2023,95.5
Aug 2023,62.6
Sep 2023,87.2
Oct 2023,172.6
Nov 2023,76.6
Dec 2023,129
Jan 2024,91.2
Feb 2024,89
Mar 2024,68.2
Apr 2024,78.8
May 2024,41.1
Jun 2024,57.8
Jul 2024,57.8
Aug 2024,46.4
Sep 2024,21.2
Oct 2024,46.2
Nov 2024,29.8
Dec 2024,44.4
Jan 2025,38
Feb 2025,23.2
Mar 2025,34
Apr 2025,20.8
May 2025,52.4
Jun 2025,44.6
Jul 2025,59.6
Aug 2025,43.8
