Timestamp,Value
Jun 2015,56
Jul 2015,113.8
Aug 2015,75.6
Sep 2015,43.6
Oct 2015,44.6
Nov 2015,56.8
Dec 2015,90.4
Jan 2016,92.6
Feb 2016,77.4
Mar 2016,33.2
Apr 2016,63.4
May 2016,30.8
Jun 2016,82.8
Jul 2016,96.4
Aug 2016,51
Sep 2016,78.8
Oct 2016,38.2
Nov 2016,49
Dec 2016,69.2
Jan 2017,62.6
Feb 2017,33.4
Mar 2017,43.6
Apr 2017,42.6
May 2017,51
Jun 2017,156.2
Jul 2017,90
Aug 2017,68.4
Sep 2017,125.2
Oct 2017,75.2
Nov 2017,101.6
Dec 2017,54
Jan 2018,53.4
Feb 2018,37
Mar 2018,47.8
Apr 2018,37.2
May 2018,35.8
Jun 2018,28.4
Jul 2018,36.6
Aug 2018,33
Sep 2018,114.4
Oct 2018,78.4
Nov 2018,27.4
Dec 2018,35.6
Jan 2019,45.3
Feb 2019,46.7
Mar 2019,75.3
Apr 2019,46.9
May 2019,115.3
Jun 2019,91.6
Jul 2019,99.8
Aug 2019,160.4
Sep 2019,69.4
Oct 2019,65.9
Nov 2019,119.4
Dec 2019,65.6
Jan 2020,49.4
Feb 2020,113.2
Mar 2020,25.6
Apr 2020,11.2
May 2020,30.2
Jun 2020,76.6
Jul 2020,86.6
Aug 2020,28.6
Sep 2020,64.2
Oct 2020,184
Nov 2020,34.6
Dec 2020,152.8
Jan 2021,88.6
Feb 2021,21.4
Mar 2021,49
Apr 2021,37
May 2021,91.6
Jun 2021,18.6
Jul 2021,128
Aug 2021,42.6
Sep 2021,96.6
Oct 2021,109.2
Nov 2021,88.8
Dec 2021,61.6
Jan 2022,35.6
Feb 2022,117.8
Mar 2022,31.6
Apr 2022,96
May 2022,92.4
Jun 2022,25.6
Jul 2022,78
Aug 2022,56.6
Sep 2022,72.6
Oct 2022,63.2
Nov 2022,42
Dec 2022,67.6
Jan 2023,78.2
Feb 2023,36.4
Mar 2023,65.2
Apr 2023,44.2
May 2023,31.4
Jun 2023,36.4
Jul 2023,74.6
Aug 2023,63.2
Sep 2023,91
Oct 2023,128.8
Nov 2023,86.4
Dec 2023,102.4
Jan 2024,70.2
Feb 2024,68.2
Mar 2024,57.4
Apr 2024,58.6
May 2024,104.2
Jun 2024,91.4
Jul 2024,93.2
Aug 2024,31.8
Sep 2024,61.2
Oct 2024,51.8
Nov 2024,26.4
Dec 2024,162.2
Jan 2025,37.8
Feb 2025,14.8
Mar 2025,38.6
Apr 2025,18.4
May 2025,7.6
