Timestamp,Value
Sep 2015,38.6
Oct 2015,63.2
Nov 2015,309.4
Dec 2015,306.4
Jan 2016,224.8
Feb 2016,174.2
Mar 2016,63.8
Apr 2016,87.8
May 2016,75
Jun 2016,63.2
Jul 2016,99.2
Aug 2016,73.6
Sep 2016,160
Oct 2016,39.8
Nov 2016,77.4
Dec 2016,48.2
Jan 2017,68.4
Feb 2017,133.6
Mar 2017,106.8
Apr 2017,27.4
May 2017,47.8
Jun 2017,125.4
Jul 2017,75
Aug 2017,91
Sep 2017,107.2
Oct 2017,163.6
Nov 2017,100.2
Dec 2017,106.8
Jan 2018,195.8
Feb 2018,59.2
Mar 2018,70.4
Apr 2018,82.2
May 2018,29.2
Jun 2018,52.8
Jul 2018,72.6
Aug 2018,84.8
Sep 2018,106.4
Oct 2018,106.8
Nov 2018,157.8
Dec 2018,92.2
Jan 2019,43.4
Feb 2019,79
Mar 2019,160
Apr 2019,43.6
May 2019,42.1
Jun 2019,65.6
Jul 2019,106.4
Aug 2019,198.2
Sep 2019,107.8
Oct 2019,141.8
Nov 2019,59.8
Dec 2019,234.2
Jan 2020,186.8
Feb 2020,377.8
Mar 2020,123.4
Apr 2020,20.6
May 2020,55.6
Jun 2020,136.6
Jul 2020,156
Aug 2020,143.8
Sep 2020,121.8
Oct 2020,194
Nov 2020,195.8
Dec 2020,161.8
Jan 2021,123.8
Feb 2021,153.8
Mar 2021,126
Apr 2021,18.2
May 2021,66
Jun 2021,32.6
Jul 2021,46.2
Aug 2021,68.6
Sep 2021,108.2
Oct 2021,224
Nov 2021,83
Dec 2021,115.8
Jan 2022,118.2
Feb 2022,282.2
Mar 2022,43.6
Apr 2022,63
May 2022,92.4
Jun 2022,55.6
Jul 2022,50
Aug 2022,75.6
Sep 2022,123.2
Oct 2022,210.4
Nov 2022,157
Dec 2022,155.6
Jan 2023,183.4
Feb 2023,69
Mar 2023,137.4
Apr 2023,53.2
May 2023,29.6
Jun 2023,69.2
Jul 2023,152.8
Aug 2023,111
Sep 2023,145
Oct 2023,139.4
Nov 2023,117.2
Dec 2023,229.8
Jan 2024,172.2
Feb 2024,146
Mar 2024,141.4
Apr 2024,163.4
May 2024,107.4
Jun 2024,44.4
Jul 2024,52.6
Aug 2024,246.6
Sep 2024,77.6
Oct 2024,113.6
Nov 2024,72.4
Dec 2024,177.4
Jan 2025,68.8
Feb 2025,105.6
Mar 2025,69
Apr 2025,49.6
May 2025,111
Jun 2025,98.6
Jul 2025,77.4
Aug 2025,62.2
