Timestamp,Value
Jun 2015,38.2
Jul 2015,114.6
Aug 2015,81.6
Sep 2015,62.4
Oct 2015,85.2
Nov 2015,57.4
Dec 2015,104.6
Jan 2016,229.4
Feb 2016,33.6
Mar 2016,53.4
Apr 2016,108
May 2016,1.2
Jun 2016,157.8
Jul 2016,105.8
Aug 2016,52
Sep 2016,28.4
Oct 2016,99
Nov 2016,76.4
Dec 2016,33
Jan 2017,46.2
Feb 2017,98
Mar 2017,61.2
Apr 2017,34.8
May 2017,30
Jun 2017,151.8
Jul 2017,68.2
Aug 2017,72.2
Sep 2017,91
Oct 2017,67.8
Nov 2017,97.4
Dec 2017,50.4
Jan 2018,27.2
Feb 2018,47
Mar 2018,146.4
Apr 2018,45.8
May 2018,23.4
Jun 2018,26.8
Jul 2018,79.4
Aug 2018,45.2
Sep 2018,34
Oct 2018,110.2
Nov 2018,125.4
Dec 2018,65.4
Jan 2019,40.8
Feb 2019,18.4
Mar 2019,49.2
Apr 2019,50.8
May 2019,91.6
Jun 2019,90.4
Jul 2019,107.6
Aug 2019,64.2
Sep 2019,76
Oct 2019,94
Nov 2019,182.2
Dec 2019,51.4
Jan 2020,14.4
Feb 2020,56.6
Mar 2020,12.6
Apr 2020,10.4
May 2020,40.2
Jun 2020,56.2
Jul 2020,109.4
Aug 2020,89.2
Sep 2020,29.6
Oct 2020,217.2
Nov 2020,26.4
Dec 2020,175.4
Jan 2021,106.2
Feb 2021,107.6
Mar 2021,33
Apr 2021,34.2
May 2021,134.6
Jun 2021,17.2
Jul 2021,49.6
Aug 2021,61
Sep 2021,68.2
Oct 2021,124.6
Nov 2021,59.6
Dec 2021,77
Jan 2022,12.8
Feb 2022,52.2
Mar 2022,54.8
Apr 2022,62.2
May 2022,44.2
Jun 2022,30
Jul 2022,57.2
Aug 2022,41.4
Sep 2022,105.6
Oct 2022,95.8
Nov 2022,164.8
Dec 2022,103.8
Jan 2023,52.8
Feb 2023,30
Mar 2023,71.4
Apr 2023,60
May 2023,46.8
Jun 2023,52.6
Jul 2023,115.2
Aug 2023,51.2
Sep 2023,61
Oct 2023,276
Nov 2023,117
Dec 2023,235.2
Jan 2024,74.4
Feb 2024,72.4
Mar 2024,79
Apr 2024,176.8
May 2024,65.6
Jun 2024,52.8
Jul 2024,90
Aug 2024,62
Sep 2024,52.4
Oct 2024,77.4
Nov 2024,9.8
Dec 2024,96.6
Jan 2025,60.8
Feb 2025,24.8
Mar 2025,30.4
Apr 2025,11.2
May 2025,7.4
