Timestamp,Value
Jun 2015,82.8
Jul 2015,152.2
Aug 2015,153
Sep 2015,45
Oct 2015,159.8
Nov 2015,317.2
Dec 2015,336
Jan 2016,220.6
Feb 2016,215
Mar 2016,94.4
Apr 2016,144.4
May 2016,72.8
Jun 2016,95.4
Jul 2016,141.2
Aug 2016,123.2
Sep 2016,179
Oct 2016,57.8
Nov 2016,155.8
Dec 2016,104.4
Jan 2017,156.6
Feb 2017,235.2
Mar 2017,162.2
Apr 2017,49
May 2017,78.4
Jun 2017,185.6
Jul 2017,153.4
Aug 2017,218.4
Sep 2017,226.8
Oct 2017,218.4
Nov 2017,201.4
Dec 2017,125.8
Jan 2018,275
Feb 2018,135.4
Mar 2018,101.2
Apr 2018,113
May 2018,51.2
Jun 2018,85.2
Jul 2018,86.4
Aug 2018,154.2
Sep 2018,144
Oct 2018,165.6
Nov 2018,279.4
Dec 2018,198.4
Jan 2019,135.8
Feb 2019,98.8
Mar 2019,228.2
Apr 2019,86.8
May 2019,104.4
Jun 2019,94.2
Jul 2019,140.8
Aug 2019,214
Sep 2019,191.6
Oct 2019,137
Nov 2019,115.8
Dec 2019,180.6
Jan 2020,149
Feb 2020,284.2
Mar 2020,96.4
Apr 2020,39.8
May 2020,61.2
Jun 2020,181.2
Jul 2020,207
Aug 2020,157.4
Sep 2020,177.2
Oct 2020,284
Nov 2020,229.4
Dec 2020,169.2
Jan 2021,141.8
Feb 2021,222.8
Mar 2021,123.8
Apr 2021,13.4
May 2021,156.8
Jun 2021,34.8
Jul 2021,35.2
Aug 2021,124.2
Sep 2021,136.6
Oct 2021,262.4
Nov 2021,194.6
Dec 2021,142.6
Jan 2022,95.2
Feb 2022,252.4
Mar 2022,96.4
Apr 2022,121
May 2022,116
Jun 2022,164.6
Jul 2022,88.8
Aug 2022,81.4
Sep 2022,184.6
Oct 2022,242.6
Nov 2022,234.2
Dec 2022,132.4
Jan 2023,207
Feb 2023,83
Mar 2023,200.2
Apr 2023,118
May 2023,43
Jun 2023,110.6
Jul 2023,226.8
Aug 2023,101.2
Sep 2023,197
Oct 2023,112
Nov 2023,183.2
Dec 2023,386.2
Jan 2024,146.4
Feb 2024,170.2
Mar 2024,139.6
Apr 2024,172.6
May 2024,136.8
Jun 2024,99.2
Jul 2024,82.4
Aug 2024,294.8
Sep 2024,80.2
Oct 2024,158.4
Nov 2024,100.8
Dec 2024,249.6
Jan 2025,95.2
Feb 2025,157.2
Mar 2025,73
Apr 2025,40.6
May 2025,16
