Timestamp,Value
Sep 2015,49.2
Oct 2015,83.2
Nov 2015,267
Dec 2015,522.2
Jan 2016,238.2
Feb 2016,201.4
Mar 2016,110
Apr 2016,73.6
May 2016,85.8
Jun 2016,156
Jul 2016,104.6
Aug 2016,114.8
Sep 2016,155.4
Oct 2016,42.2
Nov 2016,92.8
Dec 2016,228.6
Jan 2017,116
Feb 2017,157
Mar 2017,158.4
Apr 2017,78
May 2017,31.8
Jun 2017,136
Jul 2017,84.4
Aug 2017,139.6
Sep 2017,121.4
Oct 2017,285.8
Nov 2017,235.8
Dec 2017,182.4
Jan 2018,203.8
Feb 2018,107.6
Mar 2018,94
Apr 2018,92.4
May 2018,32.8
Jun 2018,100
Jul 2018,73
Aug 2018,71.8
Sep 2018,236.2
Oct 2018,224
Nov 2018,138.2
Dec 2018,158.6
Jan 2019,200.8
Feb 2019,179.8
Mar 2019,262.2
Apr 2019,50.4
May 2019,111.2
Jun 2019,71.4
Jul 2019,9.4
Aug 2019,190
Sep 2019,112.2
Oct 2019,194.2
Nov 2019,80.6
Dec 2019,224.6
Jan 2020,403.4
Feb 2020,383.2
Mar 2020,192.2
Apr 2020,50.6
May 2020,123.2
Jun 2020,128
Jul 2020,84.2
Aug 2020,63.8
Sep 2020,153.8
Oct 2020,215.4
Nov 2020,192.2
Dec 2020,225.4
Jan 2021,147.6
Feb 2021,186.2
Mar 2021,219
Apr 2021,61.4
May 2021,66
Jun 2021,15.2
Jul 2021,81.2
Aug 2021,60
Sep 2021,73.2
Oct 2021,243.2
Nov 2021,218.4
Dec 2021,131.8
Jan 2022,201.2
Feb 2022,303.8
Mar 2022,48.4
Apr 2022,96.4
May 2022,168.8
Jun 2022,76.6
Jul 2022,84.2
Aug 2022,58.2
Sep 2022,92
Oct 2022,221.6
Nov 2022,275.6
Dec 2022,143.4
Jan 2023,246
Feb 2023,174
Mar 2023,116.2
Apr 2023,67.8
May 2023,24.8
Jun 2023,26.2
Jul 2023,27.8
Aug 2023,88.8
Sep 2023,181.6
Oct 2023,213
Nov 2023,136.6
Dec 2023,298.8
Jan 2024,291.6
Feb 2024,208
Mar 2024,104.8
Apr 2024,174.6
May 2024,42.8
Jun 2024,115.7
Jul 2024,58.2
Aug 2024,177.6
Sep 2024,92
Oct 2024,148.6
Nov 2024,125.6
Dec 2024,422.4
Jan 2025,83
Feb 2025,159
Mar 2025,97.2
Apr 2025,62.8
May 2025,92.6
Jun 2025,114.4
Jul 2025,101
Aug 2025,104.8
