Timestamp,Value
Sep 2015,143.2
Oct 2015,316.8
Nov 2015,499.4
Dec 2015,872.4
Jan 2016,436.6
Feb 2016,438.2
Mar 2016,365.8
Apr 2016,257
May 2016,238
Jun 2016,156
Jul 2016,287
Aug 2016,286
Sep 2016,714.8
Oct 2016,129
Nov 2016,270.6
Dec 2016,507.4
Jan 2017,280
Feb 2017,360
Mar 2017,277
Apr 2017,182.6
May 2017,91
Jun 2017,250.6
Jul 2017,292.4
Aug 2017,411
Sep 2017,303.4
Oct 2017,605.4
Nov 2017,435.8
Dec 2017,419.4
Jan 2018,493.4
Feb 2018,342
Mar 2018,163.6
Apr 2018,215.2
May 2018,250.6
Jun 2018,194
Jul 2018,238.6
Aug 2018,334.8
Sep 2018,533.4
Oct 2018,490.8
Nov 2018,492.6
Dec 2018,386.8
Jan 2019,235.2
Feb 2019,538.4
Mar 2019,372.8
Apr 2019,63.8
May 2019,126.2
Jun 2019,243.8
Jul 2019,245
Aug 2019,558.8
Sep 2019,275.8
Oct 2019,239.8
Nov 2019,79
Dec 2019,446.8
Jan 2020,618.2
Feb 2020,515.2
Mar 2020,680.4
Apr 2020,83.8
May 2020,242.2
Jun 2020,197.2
Jul 2020,178.2
Aug 2020,135.6
Sep 2020,405
Oct 2020,644.8
Nov 2020,739.2
Dec 2020,543.2
Jan 2021,251.2
Feb 2021,160.4
Mar 2021,276.6
Apr 2021,51.6
May 2021,86.2
Jun 2021,142.8
Jul 2021,57
Aug 2021,196.6
Sep 2021,303.2
Oct 2021,600.2
Nov 2021,445.8
Dec 2021,309
Jan 2022,390.2
Feb 2022,554.8
Mar 2022,207
Apr 2022,148
May 2022,448.2
Jun 2022,279.4
Jul 2022,201
Aug 2022,205.2
Sep 2022,301.6
Oct 2022,667
Nov 2022,884.8
Dec 2022,445.8
Jan 2023,518.4
Feb 2023,305.8
Mar 2023,310.8
Apr 2023,182.2
May 2023,58.2
Jun 2023,129.8
Jul 2023,250.2
Aug 2023,383.4
Sep 2023,479
Oct 2023,252.6
Nov 2023,246.6
Dec 2023,492
Jan 2024,471.4
Feb 2024,399.4
Mar 2024,255.6
Apr 2024,262.6
May 2024,117.8
Jun 2024,225.2
Jul 2024,206.8
Aug 2024,719.4
Sep 2024,141.2
Oct 2024,362.4
Nov 2024,335.8
Dec 2024,695.2
Jan 2025,218.8
Feb 2025,550.8
Mar 2025,245.8
Apr 2025,204.2
May 2025,130.8
Jun 2025,372.8
Jul 2025,213.4
Aug 2025,301.6
