Timestamp,Value
Sep 2015,34.8
Oct 2015,70.2
Nov 2015,317.4
Dec 2015,223
Jan 2016,184.6
Feb 2016,196.4
Mar 2016,75
Apr 2016,94.2
May 2016,90
Jun 2016,78.4
Jul 2016,161
Aug 2016,114.8
Sep 2016,155.2
Oct 2016,33.4
Nov 2016,116.6
Dec 2016,96.8
Jan 2017,81
Feb 2017,124.6
Mar 2017,125
Apr 2017,27.8
May 2017,29.8
Jun 2017,115.2
Jul 2017,105.8
Aug 2017,180
Sep 2017,135.8
Oct 2017,179.8
Nov 2017,111.6
Dec 2017,126.2
Jan 2018,178.8
Feb 2018,50
Mar 2018,65.6
Apr 2018,62.2
May 2018,31.6
Jun 2018,66.6
Jul 2018,75.4
Aug 2018,103.8
Sep 2018,102.2
Oct 2018,28.8
Nov 2018,151
Dec 2018,65.8
Jan 2019,80.6
Feb 2019,89.4
Mar 2019,184.4
Apr 2019,39.6
May 2019,92.4
Jun 2019,67.2
Jul 2019,123.8
Aug 2019,270.4
Sep 2019,148.6
Oct 2019,159
Nov 2019,59
Dec 2019,222.8
Jan 2020,153.2
Feb 2020,267.6
Mar 2020,102
Apr 2020,18.8
May 2020,61.2
Jun 2020,150
Jul 2020,196.6
Aug 2020,186
Sep 2020,120.8
Oct 2020,186
Nov 2020,181.2
Dec 2020,137.8
Jan 2021,139
Feb 2021,89.2
Mar 2021,84.8
Apr 2021,12.4
May 2021,65.6
Jun 2021,43
Jul 2021,22
Aug 2021,148.6
Sep 2021,108.2
Oct 2021,241.2
Nov 2021,116
Dec 2021,133.2
Jan 2022,103.4
Feb 2022,220.8
Mar 2022,43
Apr 2022,63
May 2022,103
Jun 2022,87
Jul 2022,77.6
Aug 2022,65.8
Sep 2022,125.8
Oct 2022,214.8
Nov 2022,131
Dec 2022,127.6
Jan 2023,185
Feb 2023,77.6
Mar 2023,140
Apr 2023,62.8
May 2023,33.8
Jun 2023,73.4
Jul 2023,153.4
Aug 2023,71
Sep 2023,132.8
Oct 2023,120.8
Nov 2023,106.2
Dec 2023,219.2
Jan 2024,106.8
Feb 2024,154.6
Mar 2024,126.8
Apr 2024,132.6
May 2024,89.8
Jun 2024,54.6
Jul 2024,63.8
Aug 2024,249.8
Sep 2024,68
Oct 2024,126.2
Nov 2024,52.2
Dec 2024,137.6
Jan 2025,49.4
Feb 2025,75.6
Mar 2025,60.6
Apr 2025,48.8
May 2025,103.6
Jun 2025,135.6
Jul 2025,121.4
Aug 2025,81.8
