Timestamp,Value
Sep 2015,19.4
Oct 2015,31.4
Nov 2015,138.2
Dec 2015,152.8
Jan 2016,139
Feb 2016,69.6
Mar 2016,23.2
Apr 2016,52.4
May 2016,26.8
Jun 2016,69.4
Jul 2016,71.8
Aug 2016,53.2
Sep 2016,56.2
Oct 2016,56.8
Nov 2016,60.4
Dec 2016,57.6
Jan 2017,23.8
Feb 2017,79
Mar 2017,67.2
Apr 2017,3.4
May 2017,39.2
Jun 2017,143.2
Jul 2017,70.2
Aug 2017,105.4
Sep 2017,88.6
Oct 2017,53
Nov 2017,38
Dec 2017,57.6
Jan 2018,81.4
Feb 2018,29.4
Mar 2018,118
Apr 2018,70.8
May 2018,22.2
Jun 2018,38.6
Jul 2018,54.4
Aug 2018,65
Sep 2018,70.2
Oct 2018,39.2
Nov 2018,110
Dec 2018,44.8
Jan 2019,14.2
Feb 2019,26.2
Mar 2019,87
Apr 2019,49.4
May 2019,79
Jun 2019,71.6
Jul 2019,77.8
Aug 2019,151
Sep 2019,95.4
Oct 2019,95.2
Nov 2019,102.4
Dec 2019,64.2
Jan 2020,86.2
Feb 2020,154.4
Mar 2020,42.4
Apr 2020,9.2
May 2020,21
Jun 2020,67.4
Jul 2020,111.6
Aug 2020,152.8
Sep 2020,59
Oct 2020,99.4
Nov 2020,56.6
Dec 2020,114.4
Jan 2021,95.2
Feb 2021,77.8
Mar 2021,41.4
Apr 2021,15
May 2021,107.8
Jun 2021,18.4
Jul 2021,50
Aug 2021,59.2
Sep 2021,73.2
Oct 2021,140
Nov 2021,36.4
Dec 2021,64.2
Jan 2022,21.6
Feb 2022,113.6
Mar 2022,26.4
Apr 2022,31
May 2022,34.8
Jun 2022,36.2
Jul 2022,34
Aug 2022,55.4
Sep 2022,81.8
Oct 2022,94.6
Nov 2022,117.8
Dec 2022,97.2
Jan 2023,63.8
Feb 2023,34
Mar 2023,102.4
Apr 2023,38
May 2023,19
Jun 2023,72.6
Jul 2023,111.4
Aug 2023,43
Sep 2023,100.2
Oct 2023,184.2
Nov 2023,56.6
Dec 2023,119.6
Jan 2024,65.6
Feb 2024,55.6
Mar 2024,83.8
Apr 2024,110.4
May 2024,118.6
Jun 2024,36.2
Jul 2024,40
Aug 2024,79
Sep 2024,48.6
Oct 2024,57.4
Nov 2024,11.8
Dec 2024,64
Jan 2025,32.4
Feb 2025,46
Mar 2025,33
Apr 2025,32.6
May 2025,60
Jun 2025,75.4
Jul 2025,59.4
Aug 2025,26.8
