Timestamp,Value
Sep 2015,47.8
Oct 2015,133.8
Nov 2015,248.8
Dec 2015,520.4
Jan 2016,416.8
Feb 2016,157
Mar 2016,142.6
Apr 2016,99
May 2016,88
Jun 2016,91
Jul 2016,99.4
Aug 2016,76.6
Sep 2016,183.2
Oct 2016,86
Nov 2016,55.2
Dec 2016,152.8
Jan 2017,52.8
Feb 2017,165.2
Mar 2017,113
Apr 2017,14.4
May 2017,61.6
Jun 2017,181
Jul 2017,85.8
Aug 2017,117.6
Sep 2017,141.6
Oct 2017,127.2
Nov 2017,76.8
Dec 2017,85.6
Jan 2018,209.4
Feb 2018,73.8
Mar 2018,136.2
Apr 2018,80.2
May 2018,48.2
Jun 2018,93
Jul 2018,63.2
Aug 2018,70.8
Sep 2018,112.2
Oct 2018,95.4
Nov 2018,306
Dec 2018,116.2
Jan 2019,25.4
Feb 2019,135
Mar 2019,211.2
Apr 2019,28.6
May 2019,32.6
Jun 2019,98
Jul 2019,0
Aug 2019,207.8
Sep 2019,117.6
Oct 2019,155.6
Nov 2019,143.6
Dec 2019,225
Jan 2020,205.8
Feb 2020,406.6
Mar 2020,134
Apr 2020,32.2
May 2020,69.2
Jun 2020,127.4
Jul 2020,123
Aug 2020,181.6
Sep 2020,115.2
Oct 2020,309
Nov 2020,196.8
Dec 2020,295
Jan 2021,86.6
Feb 2021,291
Mar 2021,188.8
Apr 2021,20.6
May 2021,188
Jun 2021,39.2
Jul 2021,80.2
Aug 2021,103.8
Sep 2021,63.8
Oct 2021,226
Nov 2021,78.4
Dec 2021,128.4
Jan 2022,89.6
Feb 2022,266.6
Mar 2022,121.8
Apr 2022,42
May 2022,123.6
Jun 2022,95.8
Jul 2022,59.2
Aug 2022,75.4
Sep 2022,155.8
Oct 2022,223.6
Nov 2022,334.8
Dec 2022,176.6
Jan 2023,216.6
Feb 2023,56.6
Mar 2023,144.8
Apr 2023,95
May 2023,29.8
Jun 2023,44.2
Jul 2023,183.4
Aug 2023,107
Sep 2023,212
Oct 2023,362.4
Nov 2023,128.8
Dec 2023,301.2
Jan 2024,215.6
Feb 2024,117.6
Mar 2024,149.2
Apr 2024,198.6
May 2024,83.6
Jun 2024,69
Jul 2024,61.4
Aug 2024,188.4
Sep 2024,56.8
Oct 2024,136.6
Nov 2024,63.2
Dec 2024,217.6
Jan 2025,101
Feb 2025,166.2
Mar 2025,67
Apr 2025,54.6
May 2025,85
Jun 2025,97.8
Jul 2025,75.4
Aug 2025,73
