Timestamp,Value
Sep 2015,27.4
Oct 2015,79
Nov 2015,239.6
Dec 2015,312.2
Jan 2016,210.2
Feb 2016,134.2
Mar 2016,38.2
Apr 2016,70.2
May 2016,59.6
Jun 2016,62.6
Jul 2016,86.2
Aug 2016,77.4
Sep 2016,113.8
Oct 2016,45.6
Nov 2016,58.2
Dec 2016,105
Jan 2017,43.2
Feb 2017,110
Mar 2017,80.4
Apr 2017,7.2
May 2017,49.6
Jun 2017,125.4
Jul 2017,83.8
Aug 2017,98
Sep 2017,76.6
Oct 2017,86.8
Nov 2017,52.4
Dec 2017,78.8
Jan 2018,162.6
Feb 2018,37.4
Mar 2018,86.8
Apr 2018,70.6
May 2018,24
Jun 2018,63
Jul 2018,37
Aug 2018,59
Sep 2018,83
Oct 2018,69.4
Nov 2018,146.4
Dec 2018,70.4
Jan 2019,22
Feb 2019,70.2
Mar 2019,145.3
Apr 2019,25.6
May 2019,66.8
Jun 2019,75.6
Jul 2019,95.6
Aug 2019,149
Sep 2019,73
Oct 2019,109
Nov 2019,78
Dec 2019,162.2
Jan 2020,174.4
Feb 2020,269.6
Mar 2020,83.6
Apr 2020,16
May 2020,38.2
Jun 2020,92
Jul 2020,127.4
Aug 2020,127.8
Sep 2020,76.2
Oct 2020,142.4
Nov 2020,103.2
Dec 2020,120.6
Jan 2021,96.2
Feb 2021,113.6
Mar 2021,103.2
Apr 2021,6.4
May 2021,87.4
Jun 2021,25
Jul 2021,58
Aug 2021,76.2
Sep 2021,91.2
Oct 2021,156
Nov 2021,50
Dec 2021,87
Jan 2022,49
Feb 2022,219.4
Mar 2022,41.4
Apr 2022,23.4
May 2022,56.6
Jun 2022,42
Jul 2022,48.2
Aug 2022,96.8
Sep 2022,118.6
Oct 2022,171.4
Nov 2022,157.6
Dec 2022,144
Jan 2023,161.4
Feb 2023,45.2
Mar 2023,141.8
Apr 2023,44.4
May 2023,33.8
Jun 2023,52.6
Jul 2023,166.4
Aug 2023,56.2
Sep 2023,148
Oct 2023,163.2
Nov 2023,77.6
Dec 2023,185.6
Jan 2024,165.8
Feb 2024,81.4
Mar 2024,115.2
Apr 2024,126.4
May 2024,91.4
Jun 2024,51.6
Jul 2024,48
Aug 2024,167
Sep 2024,52.8
Oct 2024,95.8
Nov 2024,64.2
Dec 2024,137
Jan 2025,60.4
Feb 2025,85
Mar 2025,48
Apr 2025,32.2
May 2025,75.2
Jun 2025,81
Jul 2025,57.4
Aug 2025,64.4
