Timestamp,Value
Sep 2015,26
Oct 2015,35.2
Nov 2015,133
Dec 2015,183.2
Jan 2016,147.4
Feb 2016,57.2
Mar 2016,30.6
Apr 2016,59.6
May 2016,27.8
Jun 2016,50
Jul 2016,76
Aug 2016,57.6
Sep 2016,51.2
Oct 2016,38.2
Nov 2016,66.8
Dec 2016,48.4
Jan 2017,34
Feb 2017,79.6
Mar 2017,80.2
Apr 2017,14.8
May 2017,21
Jun 2017,92.2
Jul 2017,61.8
Aug 2017,76.2
Sep 2017,75.2
Oct 2017,52.2
Nov 2017,50
Dec 2017,41.8
Jan 2018,98.6
Feb 2018,43.8
Mar 2018,94.4
Apr 2018,81.2
May 2018,19.6
Jun 2018,93
Jul 2018,41
Aug 2018,64.6
Sep 2018,60.8
Oct 2018,54.6
Nov 2018,101.8
Dec 2018,57.2
Jan 2019,9.2
Feb 2019,32.6
Mar 2019,107.6
Apr 2019,31.2
May 2019,47
Jun 2019,74
Jul 2019,69.4
Aug 2019,116.4
Sep 2019,76
Oct 2019,74.2
Nov 2019,93.6
Dec 2019,59.6
Jan 2020,58.6
Feb 2020,179
Mar 2020,50.2
Apr 2020,6
May 2020,21.4
Jun 2020,107.6
Jul 2020,77.4
Aug 2020,116
Sep 2020,41.2
Oct 2020,137.8
Nov 2020,42.8
Dec 2020,103.4
Jan 2021,100
Feb 2021,129.4
Mar 2021,43.2
Apr 2021,12.8
May 2021,96
Jun 2021,20.4
Jul 2021,63.4
Aug 2021,55.8
Sep 2021,67.4
Oct 2021,126.4
Nov 2021,50.4
Dec 2021,73.4
Jan 2022,18.4
Feb 2022,105.2
Mar 2022,45.8
Apr 2022,27.8
May 2022,39.2
Jun 2022,38.6
Jul 2022,30.8
Aug 2022,24.8
Sep 2022,109.6
Oct 2022,111.4
Nov 2022,89.8
Dec 2022,98.6
Jan 2023,68.2
Feb 2023,24.4
Mar 2023,70.8
Apr 2023,39.2
May 2023,25
Jun 2023,66.6
Jul 2023,131.8
Aug 2023,80.6
Sep 2023,77.8
Oct 2023,148.2
Nov 2023,61
Dec 2023,127.6
Jan 2024,79
Feb 2024,47.2
Mar 2024,90.6
Apr 2024,95.4
May 2024,108.6
Jun 2024,41.8
Jul 2024,81.8
Aug 2024,71.2
Sep 2024,42.2
Oct 2024,91
Nov 2024,42
Dec 2024,65.4
Jan 2025,49.4
Feb 2025,41.6
Mar 2025,13.4
Apr 2025,17.4
May 2025,32.2
Jun 2025,89.4
Jul 2025,104.2
Aug 2025,18
