Timestamp,Value
Sep 2015,36.6
Oct 2015,106
Nov 2015,236.2
Dec 2015,273
Jan 2016,196.8
Feb 2016,172.2
Mar 2016,83.6
Apr 2016,114.4
May 2016,65
Jun 2016,89.4
Jul 2016,116.2
Aug 2016,71.8
Sep 2016,134.4
Oct 2016,34.2
Nov 2016,116.2
Dec 2016,94.2
Jan 2017,113.2
Feb 2017,167.4
Mar 2017,137.6
Apr 2017,30.2
May 2017,82.6
Jun 2017,148.8
Jul 2017,131.6
Aug 2017,161.4
Sep 2017,223.8
Oct 2017,170.6
Nov 2017,147.8
Dec 2017,123.6
Jan 2018,207.2
Feb 2018,107.8
Mar 2018,100.8
Apr 2018,92.8
May 2018,45.8
Jun 2018,63
Jul 2018,71.6
Aug 2018,125.6
Sep 2018,113.4
Oct 2018,127.8
Nov 2018,235.4
Dec 2018,155.8
Jan 2019,96.2
Feb 2019,103.6
Mar 2019,196.4
Apr 2019,58
May 2019,50.8
Jun 2019,69.8
Jul 2019,97
Aug 2019,161.6
Sep 2019,152.6
Oct 2019,126.8
Nov 2019,116.9
Dec 2019,169.9
Jan 2020,135.2
Feb 2020,276.8
Mar 2020,90.4
Apr 2020,24.4
May 2020,32.6
Jun 2020,134.6
Jul 2020,199.6
Aug 2020,154.6
Sep 2020,157
Oct 2020,244.8
Nov 2020,177.8
Dec 2020,168.6
Jan 2021,115.4
Feb 2021,201.4
Mar 2021,102.2
Apr 2021,12.6
May 2021,123
Jun 2021,29.6
Jul 2021,38.6
Aug 2021,109.6
Sep 2021,103.8
Oct 2021,291
Nov 2021,141.2
Dec 2021,123
Jan 2022,72.4
Feb 2022,205.8
Mar 2022,82.2
Apr 2022,76.2
May 2022,88.4
Jun 2022,119.2
Jul 2022,67.6
Aug 2022,82.8
Sep 2022,171
Oct 2022,219.5
Nov 2022,251.6
Dec 2022,131.8
Jan 2023,200.8
Feb 2023,52.9
Mar 2023,197.7
Apr 2023,93.6
May 2023,52.4
Jun 2023,77.2
Jul 2023,199.4
Aug 2023,80
Sep 2023,161.8
Oct 2023,87
Nov 2023,136.4
Dec 2023,304
Jan 2024,126.8
Feb 2024,123.6
Mar 2024,143.8
Apr 2024,149.8
May 2024,90.4
Jun 2024,67.2
Jul 2024,73.4
Aug 2024,239.4
Sep 2024,60.2
Oct 2024,94.2
Nov 2024,90
Dec 2024,191.2
Jan 2025,81
Feb 2025,114
Mar 2025,53
Apr 2025,40.6
May 2025,104
Jun 2025,103.2
Jul 2025,102.6
Aug 2025,96.6
