Timestamp,Value
Sep 2015,23.4
Oct 2015,32.2
Nov 2015,210.8
Dec 2015,249.2
Jan 2016,156.8
Feb 2016,121.8
Mar 2016,46.2
Apr 2016,74.6
May 2016,46.2
Jun 2016,54
Jul 2016,91.2
Aug 2016,63
Sep 2016,63.4
Oct 2016,29.6
Nov 2016,69.4
Dec 2016,84.8
Jan 2017,49.4
Feb 2017,102.2
Mar 2017,81.2
Apr 2017,18.8
May 2017,43.8
Jun 2017,125.2
Jul 2017,65.6
Aug 2017,83.8
Sep 2017,68.2
Oct 2017,113.6
Nov 2017,69
Dec 2017,78.4
Jan 2018,138.8
Feb 2018,54
Mar 2018,55.8
Apr 2018,79.4
May 2018,20.2
Jun 2018,79.8
Jul 2018,58.4
Aug 2018,69
Sep 2018,73.2
Oct 2018,76.2
Nov 2018,113
Dec 2018,71.6
Jan 2019,29.6
Feb 2019,32.4
Mar 2019,84.2
Apr 2019,41.4
May 2019,37.8
Jun 2019,76.8
Jul 2019,50.2
Aug 2019,148.4
Sep 2019,92
Oct 2019,112
Nov 2019,45.6
Dec 2019,152.8
Jan 2020,140.6
Feb 2020,276
Mar 2020,85.2
Apr 2020,12.6
May 2020,31.4
Jun 2020,116.6
Jul 2020,113.2
Aug 2020,147
Sep 2020,56
Oct 2020,122
Nov 2020,107.4
Dec 2020,124.6
Jan 2021,103.8
Feb 2021,83.8
Mar 2021,85.8
Apr 2021,8.8
May 2021,77.6
Jun 2021,26.8
Jul 2021,33.8
Aug 2021,73.8
Sep 2021,82.6
Oct 2021,130.2
Nov 2021,57
Dec 2021,74.4
Jan 2022,57.2
Feb 2022,200.6
Mar 2022,38.8
Apr 2022,34.6
May 2022,71.4
Jun 2022,66.6
Jul 2022,31.8
Aug 2022,63.2
Sep 2022,93.8
Oct 2022,135
Nov 2022,95.2
Dec 2022,113.6
Jan 2023,128
Feb 2023,37.8
Mar 2023,79
Apr 2023,42.2
May 2023,20.4
Jun 2023,45.4
Jul 2023,85.4
Aug 2023,42.4
Sep 2023,112.8
Oct 2023,94.8
Nov 2023,71.2
Dec 2023,131.8
Jan 2024,117.2
Feb 2024,83
Mar 2024,94.4
Apr 2024,102.8
May 2024,114.2
Jun 2024,60.2
Jul 2024,63.8
Aug 2024,128.4
Sep 2024,53.8
Oct 2024,57.4
Nov 2024,28.6
Dec 2024,99
Jan 2025,45.6
Feb 2025,59.2
Mar 2025,50.2
Apr 2025,27
May 2025,62.6
Jun 2025,81
Jul 2025,70.8
Aug 2025,39.2
