Timestamp,Value
Sep 2015,38
Oct 2015,31.6
Nov 2015,189.8
Dec 2015,240.2
Jan 2016,175
Feb 2016,85.4
Mar 2016,28.4
Apr 2016,95.2
May 2016,43.4
Jun 2016,98.2
Jul 2016,67.6
Aug 2016,55.6
Sep 2016,44.6
Oct 2016,41.6
Nov 2016,61.4
Dec 2016,69.6
Jan 2017,30
Feb 2017,75.6
Mar 2017,67
Apr 2017,6.8
May 2017,31.6
Jun 2017,221.2
Jul 2017,85.8
Aug 2017,77
Sep 2017,77.6
Oct 2017,71
Nov 2017,49.2
Dec 2017,58.8
Jan 2018,90.6
Feb 2018,40.2
Mar 2018,64.2
Apr 2018,83.4
May 2018,20.6
Jun 2018,69.6
Jul 2018,56.2
Aug 2018,75
Sep 2018,74
Oct 2018,51.8
Nov 2018,63.2
Dec 2018,51.2
Jan 2019,12.6
Feb 2019,29.6
Mar 2019,109
Apr 2019,47.4
May 2019,73.4
Jun 2019,115.8
Jul 2019,95.4
Aug 2019,108.6
Sep 2019,95.4
Oct 2019,104
Nov 2019,116
Dec 2019,79.4
Jan 2020,95.8
Feb 2020,211
Mar 2020,75.1
Apr 2020,4.2
May 2020,32
Jun 2020,78.4
Jul 2020,88
Aug 2020,146.2
Sep 2020,51.2
Oct 2020,132.6
Nov 2020,68
Dec 2020,142
Jan 2021,77.6
Feb 2021,53
Mar 2021,59.2
Apr 2021,17.4
May 2021,97.2
Jun 2021,27
Jul 2021,65.2
Aug 2021,60.2
Sep 2021,47
Oct 2021,152.4
Nov 2021,50
Dec 2021,84
Jan 2022,33.4
Feb 2022,158.8
Mar 2022,33.8
Apr 2022,33.6
May 2022,44.2
Jun 2022,34.2
Jul 2022,37
Aug 2022,58.8
Sep 2022,108.8
Oct 2022,104
Nov 2022,130.2
Dec 2022,103.4
Jan 2023,67.6
Feb 2023,44
Mar 2023,82.6
Apr 2023,30.2
May 2023,28
Jun 2023,45
Jul 2023,70.6
Aug 2023,49.6
Sep 2023,100.4
Oct 2023,138.8
Nov 2023,80.8
Dec 2023,131.6
Jan 2024,108.4
Feb 2024,68
Mar 2024,117.6
Apr 2024,119.4
May 2024,222
Jun 2024,37.2
Jul 2024,82.2
Aug 2024,84.2
Sep 2024,64.4
Oct 2024,79
Nov 2024,34.6
Dec 2024,87
Jan 2025,68.2
Feb 2025,33
Mar 2025,42.4
Apr 2025,19
May 2025,33.2
Jun 2025,71.6
Jul 2025,87
Aug 2025,23.4
