Timestamp,Value
Sep 2015,24.4
Oct 2015,43.6
Nov 2015,111
Dec 2015,122.4
Jan 2016,128.2
Feb 2016,43
Mar 2016,17.8
Apr 2016,82.2
May 2016,19
Jun 2016,55.8
Jul 2016,62.8
Aug 2016,39.2
Sep 2016,30.4
Oct 2016,33.6
Nov 2016,35.8
Dec 2016,38
Jan 2017,32.8
Feb 2017,52.2
Mar 2017,36.2
Apr 2017,12.2
May 2017,30.2
Jun 2017,126.6
Jul 2017,41.2
Aug 2017,78
Sep 2017,57
Oct 2017,37.2
Nov 2017,37.2
Dec 2017,38
Jan 2018,70.4
Feb 2018,27
Mar 2018,78.6
Apr 2018,46.4
May 2018,38.2
Jun 2018,35
Jul 2018,38.6
Aug 2018,55
Sep 2018,41
Oct 2018,59.2
Nov 2018,56.4
Dec 2018,37.4
Jan 2019,8.8
Feb 2019,23.8
Mar 2019,78.4
Apr 2019,24.6
May 2019,62.4
Jun 2019,62.2
Jul 2019,59.2
Aug 2019,97.8
Sep 2019,45
Oct 2019,74
Nov 2019,106.8
Dec 2019,50.6
Jan 2020,38.8
Feb 2020,104.4
Mar 2020,26.4
Apr 2020,1.8
May 2020,17.2
Jun 2020,64.6
Jul 2020,78.6
Aug 2020,89.8
Sep 2020,27.6
Oct 2020,123
Nov 2020,41.4
Dec 2020,95.4
Jan 2021,93
Feb 2021,61
Mar 2021,27.2
Apr 2021,5.6
May 2021,85.4
Jun 2021,17
Jul 2021,40.4
Aug 2021,36.8
Sep 2021,44.8
Oct 2021,89.6
Nov 2021,41
Dec 2021,67
Jan 2022,21.2
Feb 2022,54.6
Mar 2022,24.6
Apr 2022,28.6
May 2022,42.8
Jun 2022,22.6
Jul 2022,34.6
Aug 2022,18.2
Sep 2022,63
Oct 2022,65.8
Nov 2022,97.2
Dec 2022,88
Jan 2023,32.2
Feb 2023,29
Mar 2023,62.6
Apr 2023,29
May 2023,18
Jun 2023,36.2
Jul 2023,91
Aug 2023,17.4
Sep 2023,67
Oct 2023,122.4
Nov 2023,86.2
Dec 2023,133.6
Jan 2024,57
Feb 2024,42.4
Mar 2024,79
Apr 2024,71.6
May 2024,49.2
Jun 2024,26
Jul 2024,37.6
Aug 2024,73.8
Sep 2024,10.2
Oct 2024,20.4
Nov 2024,31
Dec 2024,64.2
Jan 2025,34.4
Feb 2025,25.8
Mar 2025,16
Apr 2025,11.6
May 2025,30.6
Jun 2025,53.8
Jul 2025,45.2
Aug 2025,25.4
