Timestamp,Value
Jun 2020,5.2
Jul 2020,81
Aug 2020,148.6
Sep 2020,41.6
Oct 2020,217
Nov 2020,50.2
Dec 2020,111.4
Jan 2021,90.4
Feb 2021,104.6
Mar 2021,33.6
Apr 2021,16.6
May 2021,176
Jun 2021,18.6
Jul 2021,33.4
Aug 2021,80.8
Sep 2021,70.4
Oct 2021,119.8
Nov 2021,41.8
Dec 2021,98.8
Jan 2022,16.4
Feb 2022,81.6
Mar 2022,38
Apr 2022,37.4
May 2022,55.2
Jun 2022,31.8
Jul 2022,39.2
Aug 2022,59.4
Sep 2022,113
Oct 2022,111.6
Nov 2022,179.6
Dec 2022,131.2
Jan 2023,52.4
Feb 2023,30.2
Mar 2023,82.6
Apr 2023,71.4
May 2023,36.2
Jun 2023,48.6
Jul 2023,107.6
Aug 2023,84
Sep 2023,94.6
Oct 2023,254
Nov 2023,124.8
Dec 2023,179.6
Jan 2024,73.2
Feb 2024,58
Mar 2024,110.2
Apr 2024,118.4
May 2024,97
Jun 2024,44.6
Jul 2024,46
Aug 2024,80.4
Sep 2024,21.6
Oct 2024,83.6
Nov 2024,35.8
Dec 2024,88
Jan 2025,37.2
Feb 2025,46.6
Mar 2025,20.2
Apr 2025,17.8
May 2025,58.8
Jun 2025,62
Jul 2025,83.6
Aug 2025,50.6
