Timestamp,Value
Sep 2015,36
Oct 2015,99.8
Nov 2015,199.6
Dec 2015,176.4
Jan 2016,205.4
Feb 2016,120.4
Mar 2016,58.8
Apr 2016,101.6
May 2016,51
Jun 2016,60
Jul 2016,101.8
Aug 2016,66.4
Sep 2016,86.6
Oct 2016,49.2
Nov 2016,99
Dec 2016,73.6
Jan 2017,82.6
Feb 2017,131.6
Mar 2017,94.8
Apr 2017,19.8
May 2017,53.8
Jun 2017,132.4
Jul 2017,153.3
Aug 2017,117.8
Sep 2017,169.6
Oct 2017,153.2
Nov 2017,133
Dec 2017,119
Jan 2018,154
Feb 2018,105.2
Mar 2018,92.2
Apr 2018,75
May 2018,37.8
Jun 2018,45.8
Jul 2018,68.4
Aug 2018,83.2
Sep 2018,72.4
Oct 2018,91.2
Nov 2018,196.4
Dec 2018,136.8
Jan 2019,70.4
Feb 2019,74.2
Mar 2019,150.3
Apr 2019,73.8
May 2019,68.8
Jun 2019,77.2
Jul 2019,103.6
Aug 2019,127.2
Sep 2019,149.6
Oct 2019,151.2
Nov 2019,106.2
Dec 2019,104.4
Jan 2020,63.8
Feb 2020,163.4
Mar 2020,52.2
Apr 2020,35.4
May 2020,32.8
Jun 2020,115.2
Jul 2020,155.2
Aug 2020,122.8
Sep 2020,95.4
Oct 2020,192.8
Nov 2020,116
Dec 2020,115.2
Jan 2021,116
Feb 2021,155
Mar 2021,67
Apr 2021,8
May 2021,107.4
Jun 2021,24.6
Jul 2021,15
Aug 2021,80.4
Sep 2021,71.8
Oct 2021,197
Nov 2021,87.8
Dec 2021,142.6
Jan 2022,53.6
Feb 2022,127.6
Mar 2022,60
Apr 2022,57
May 2022,70.6
Jun 2022,93.8
Jul 2022,61.8
Aug 2022,53.8
Sep 2022,176
Oct 2022,158.8
Nov 2022,145.8
Dec 2022,93.2
Jan 2023,146.4
Feb 2023,34.8
Mar 2023,160.8
Apr 2023,84.4
May 2023,35
Jun 2023,85.2
Jul 2023,189.2
Aug 2023,63.4
Sep 2023,145.6
Oct 2023,101.6
Nov 2023,112.4
Dec 2023,212.6
Jan 2024,66.2
Feb 2024,99.4
Mar 2024,127.4
Apr 2024,123.2
May 2024,96.6
Jun 2024,63.6
Jul 2024,52
Aug 2024,152.6
Sep 2024,74
Oct 2024,102.4
Nov 2024,102.2
Dec 2024,125.4
Jan 2025,79.6
Feb 2025,70.8
Mar 2025,42.6
Apr 2025,32.2
May 2025,61.4
Jun 2025,102.2
Jul 2025,63.8
Aug 2025,44.6
