Timestamp,Value
Sep 2015,45.8
Oct 2015,103.4
Nov 2015,273.6
Dec 2015,305
Jan 2016,184.8
Feb 2016,151.8
Mar 2016,108
Apr 2016,103.2
May 2016,82
Jun 2016,72.6
Jul 2016,166
Aug 2016,138.8
Sep 2016,229.8
Oct 2016,62
Nov 2016,162
Dec 2016,156.2
Jan 2017,143.6
Feb 2017,147.2
Mar 2017,151.4
Apr 2017,54.8
May 2017,54.2
Jun 2017,165
Jul 2017,167
Aug 2017,190.2
Sep 2017,165.4
Oct 2017,238.6
Nov 2017,147.8
Dec 2017,172


Mar 2018,141.4
Apr 2018,91.4
May 2018,70.6
Jun 2018,57
Jul 2018,86
Aug 2018,150
Sep 2018,185.4
Oct 2018,204
Nov 2018,113.2
Dec 2018,141.4
Jan 2019,108.8
Feb 2019,108.2
Mar 2019,162.8
Apr 2019,24.8
May 2019,95.2
Jun 2019,84
Jul 2019,127.2
Aug 2019,167.4
Sep 2019,130
Oct 2019,165.2
Nov 2019,46.8
Dec 2019,167.2
Jan 2020,188.2
Feb 2020,119.8
Mar 2020,117
Apr 2020,44.8
May 2020,89.6
Jun 2020,102.2
Jul 2020,177.6
Aug 2020,101.6
Sep 2020,179.6
Oct 2020,241.4
Nov 2020,224.2
Dec 2020,150
Jan 2021,158.6
Feb 2021,101.4
Mar 2021,160.4
Apr 2021,24.6
May 2021,54
Jun 2021,87.4
Jul 2021,24.2
Aug 2021,70.4
Sep 2021,117
Oct 2021,246.6
Nov 2021,119.8
Dec 2021,134.8
Jan 2022,124.8
Feb 2022,201.4
Mar 2022,46.8
Apr 2022,88.4
May 2022,124.6
Jun 2022,88.8
Jul 2022,106
Aug 2022,83
Sep 2022,115
Oct 2022,180.8
Nov 2022,167.4
Dec 2022,100
Jan 2023,176.8
Feb 2023,104.6
Mar 2023,138.4
Apr 2023,92.6
May 2023,38.8
Jun 2023,101.4
Jul 2023,111
Aug 2023,76
Sep 2023,169.2
Oct 2023,205.6
Nov 2023,125.6
Dec 2023,190.2
Jan 2024,93.4
Feb 2024,155.4
Mar 2024,66.4
Apr 2024,102.4
May 2024,38.2
Jun 2024,78.4
Jul 2024,72.2
Aug 2024,222.2
Sep 2024,53
Oct 2024,65.2
Nov 2024,58.8
Dec 2024,201.8
Jan 2025,63.4
Feb 2025,86.8
Mar 2025,74.8
Apr 2025,31
May 2025,105
Jun 2025,122.2
Jul 2025,110.6
Aug 2025,79.2
