Timestamp,Value
Sep 2015,26.8
Oct 2015,52.4
Nov 2015,228.4
Dec 2015,158
Jan 2016,115.8
Feb 2016,118
Mar 2016,43.6
Apr 2016,65.8
May 2016,47.8
Jun 2016,30.2
Jul 2016,83
Aug 2016,51
Sep 2016,86
Oct 2016,29.8
Nov 2016,75.8
Dec 2016,60.6
Jan 2017,62
Feb 2017,93
Mar 2017,83.4
Apr 2017,14.8
May 2017,34.6
Jun 2017,109.2
Jul 2017,81.8
Aug 2017,76
Sep 2017,78.6
Oct 2017,100
Nov 2017,92.8
Dec 2017,87.6
Jan 2018,135.6
Feb 2018,49.4
Mar 2018,41.8
Apr 2018,71.2
May 2018,36.4
Jun 2018,56.2
Jul 2018,52.8
Aug 2018,99.4
Sep 2018,67.6
Oct 2018,115.4
Nov 2018,145.4
Dec 2018,95.6
Jan 2019,58
Feb 2019,67.4
Mar 2019,140.6
Apr 2019,38.6
May 2019,61.4
Jun 2019,51.2
Jul 2019,115.4
Aug 2019,150.2
Sep 2019,127.6
Oct 2019,133.4
Nov 2019,59.8
Dec 2019,114
Jan 2020,102.4
Feb 2020,198.2
Mar 2020,79.2
Apr 2020,21.2
May 2020,32.2
Jun 2020,108.2
Jul 2020,139.6
Aug 2020,136.8
Sep 2020,112.2
Oct 2020,147.2
Nov 2020,139
Dec 2020,90.6
Jan 2021,105.4
Feb 2021,122.2
Mar 2021,58.4
Apr 2021,10.4
May 2021,53
Jun 2021,14.2
Jul 2021,7.2
Aug 2021,83.6
Sep 2021,100.4
Oct 2021,160.6
Nov 2021,98.8
Dec 2021,104.6
Jan 2022,65
Feb 2022,169.6
Mar 2022,42.6
Apr 2022,57.2
May 2022,75.2
Jun 2022,67.4
Jul 2022,43.2
Aug 2022,48
Sep 2022,113.6
Oct 2022,139.2
Nov 2022,95
Dec 2022,92
Jan 2023,130
Feb 2023,56
Mar 2023,101.6
Apr 2023,57.6
May 2023,42.4
Jun 2023,51.2
Jul 2023,138.8
Aug 2023,28.6
Sep 2023,97.4
Oct 2023,88
Nov 2023,92
Dec 2023,168.6
Jan 2024,70.2
Feb 2024,112.4
Mar 2024,104
Apr 2024,100.4
May 2024,96.8
Jun 2024,46
Jul 2024,52.6
Aug 2024,203
Sep 2024,59
Oct 2024,60.2
Nov 2024,50.8
Dec 2024,98.8
Jan 2025,55.6
Feb 2025,66.2
Mar 2025,47.6
Apr 2025,32
May 2025,62.2
Jun 2025,93.8
Jul 2025,77.6
Aug 2025,57.4
