Timestamp,Value
Sep 2015,46.4
Oct 2015,63.4
Nov 2015,211.4
Dec 2015,316.2
Jan 2016,253.6
Feb 2016,155
Mar 2016,82.1
Apr 2016,84.6
May 2016,67.6
Jun 2016,66.2
Jul 2016,87.6
Aug 2016,77.4
Sep 2016,128
Oct 2016,38
Nov 2016,62
Dec 2016,76.2
Jan 2017,64
Feb 2017,118.4
Mar 2017,126.8
Apr 2017,18.8
May 2017,77.2
Jun 2017,156.6
Jul 2017,124.2
Aug 2017,95.5
Sep 2017,130.6
Oct 2017,88.8
Nov 2017,100
Dec 2017,81.6
Jan 2018,157.2
Feb 2018,83.8
Mar 2018,71
Apr 2018,97.4
May 2018,46.4
Jun 2018,53.2
Jul 2018,66.2
Aug 2018,110.2
Sep 2018,98.6
Oct 2018,114.6
Nov 2018,210.8
Dec 2018,149.6
Jan 2019,35.8
Feb 2019,100.8
Mar 2019,164.8
Apr 2019,52
May 2019,49.6
Jun 2019,78
Jul 2019,118
Aug 2019,208.4
Sep 2019,158.2
Oct 2019,140.6
Nov 2019,106.8
Dec 2019,140.4
Jan 2020,159.8
Feb 2020,215.4
Mar 2020,65.8
Apr 2020,16.8
May 2020,25.8
Jun 2020,103.8
Jul 2020,179.2
Aug 2020,181.2
Sep 2020,71.8
Oct 2020,174.6
Nov 2020,123.8
Dec 2020,178.6
Jan 2021,106.8
Feb 2021,172.2
Mar 2021,100.6
Apr 2021,12.4
May 2021,138
Jun 2021,32
Jul 2021,18.6
Aug 2021,84.6
Sep 2021,103.2
Oct 2021,292.6
Nov 2021,74
Dec 2021,125
Jan 2022,49.6
Feb 2022,159.6
Mar 2022,50.2
Apr 2022,31.6
May 2022,91.4
Jun 2022,70.8
Jul 2022,64.2
Aug 2022,68.4
Sep 2022,112.4
Oct 2022,210.8
Nov 2022,236.8
Dec 2022,185.4
Jan 2023,152.2
Feb 2023,38.6
Mar 2023,175.2
Apr 2023,67
May 2023,27
Jun 2023,42.4
Jul 2023,157.4
Aug 2023,58.6
Sep 2023,201.2
Oct 2023,65.6
Nov 2023,124.8
Dec 2023,231.8
Jan 2024,132.2
Feb 2024,120.6
Mar 2024,135.4
Apr 2024,151.8
May 2024,81.8
Jun 2024,58.8
Jul 2024,46.2
Aug 2024,268.4
Sep 2024,47.4
Oct 2024,101.6
Nov 2024,84.4
Dec 2024,111
Jan 2025,84
Feb 2025,95.6
Mar 2025,39.8
Apr 2025,53.6
May 2025,69.8
Jun 2025,103.6
Jul 2025,58.4
Aug 2025,81.4
