Timestamp,Value
Sep 2015,33.2
Oct 2015,50.8
Nov 2015,229
Dec 2015,212.8
Jan 2016,166.6
Feb 2016,140.4
Mar 2016,42.6
Apr 2016,66.8
May 2016,56.4
Jun 2016,37
Jul 2016,92
Aug 2016,52.4
Sep 2016,106.2
Oct 2016,28
Nov 2016,56.8
Dec 2016,65.4
Jan 2017,41.2
Feb 2017,103
Mar 2017,64.6
Apr 2017,16.2
May 2017,59.4
Jun 2017,97.2
Jul 2017,74.8
Aug 2017,82.2
Sep 2017,81.2
Oct 2017,101.2
Nov 2017,67.6
Dec 2017,78.8
Jan 2018,143.4
Feb 2018,46
Mar 2018,59.4
Apr 2018,79.4
May 2018,15
Jun 2018,60.6
Jul 2018,33
Aug 2018,63
Sep 2018,81.2
Oct 2018,57.2
Nov 2018,118
Dec 2018,75.6
Jan 2019,35.4
Feb 2019,52.2
Mar 2019,113
Apr 2019,33.6
May 2019,62
Jun 2019,41
Jul 2019,76.2
Aug 2019,177.4
Sep 2019,84.8
Oct 2019,107.2
Nov 2019,44.2
Dec 2019,125.2
Jan 2020,100.4
Feb 2020,236
Mar 2020,62
Apr 2020,10
May 2020,36.4
Jun 2020,115.6
Jul 2020,132.2
Aug 2020,126.6
Sep 2020,66.6
Oct 2020,115.2
Nov 2020,92.4
Dec 2020,109
Jan 2021,89
Feb 2021,74.8
Mar 2021,85.8
Apr 2021,9
May 2021,71.8
Jun 2021,23.8
Jul 2021,43.2
Aug 2021,73.2
Sep 2021,97
Oct 2021,136
Nov 2021,50.4
Dec 2021,63.8
Jan 2022,73.8
Feb 2022,166.8
Mar 2022,22.4
Apr 2022,29.8
May 2022,53.2
Jun 2022,46.8
Jul 2022,38
Aug 2022,67
Sep 2022,87.6
Oct 2022,133.2
Nov 2022,91.2
Dec 2022,100.8
Jan 2023,90
Feb 2023,36.2
Mar 2023,76.6
Apr 2023,33.4
May 2023,23
Jun 2023,61
Jul 2023,112.4
Aug 2023,62.2
Sep 2023,106.8
Oct 2023,98.2
Nov 2023,66.4
Dec 2023,145.2
Jan 2024,98.4
Feb 2024,71.6
Mar 2024,81
Apr 2024,94.2
May 2024,96.6
Jun 2024,31.2
Jul 2024,47.4
Aug 2024,140.4
Sep 2024,35.4
Oct 2024,70.4
Nov 2024,41
Dec 2024,83
Jan 2025,47.2
Feb 2025,57.2
Mar 2025,29.2
Apr 2025,27
May 2025,72.2
Jun 2025,58.6
Jul 2025,58.8
Aug 2025,34.8
