Timestamp,Value
Sep 2015,36.2
Oct 2015,75.8
Nov 2015,104.8
Dec 2015,239
Jan 2016,145.8
Feb 2016,39.2
Mar 2016,38.8
Apr 2016,69.4
May 2016,73.4
Jun 2016,0
Jul 2016,49.4
Aug 2016,77.6
Sep 2016,15.4
Oct 2016,31
Nov 2016,6.8
Dec 2016,89.4
Jan 2017,42.4
Feb 2017,113.2
Mar 2017,114.2
Apr 2017,14
May 2017,49.2
Jun 2017,113.4
Jul 2017,92.8
Aug 2017,90.4
Sep 2017,0.2
Oct 2017,0
Nov 2017,56.2
Dec 2017,86
Jan 2018,140.2
Feb 2018,40.6
Mar 2018,82.8
Apr 2018,81
May 2018,22.4
Jun 2018,70.6
Jul 2018,39
Aug 2018,77
Sep 2018,97.6
Oct 2018,82.6
Nov 2018,151.2
Dec 2018,92.8
Jan 2019,34.4
Feb 2019,63.8
Mar 2019,131.2
Apr 2019,32
May 2019,71
Jun 2019,67
Jul 2019,93.6
Aug 2019,139.2
Sep 2019,97
Oct 2019,107.2
Nov 2019,81.2
Dec 2019,161.2
Jan 2020,129.8
Feb 2020,285
Mar 2020,83.6
Apr 2020,13.8
May 2020,43.6
Jun 2020,103.2
Jul 2020,147.2
Aug 2020,118.4
Sep 2020,100.6
Oct 2020,168.2
Nov 2020,111.6
Dec 2020,125.6
Jan 2021,95.2
Feb 2021,140.2
Mar 2021,85.8
Apr 2021,17
May 2021,81.6
Jun 2021,48.8
Jul 2021,57.4
Aug 2021,75
Sep 2021,101.4
Oct 2021,191.4
Nov 2021,59.4
Dec 2021,96
Jan 2022,75.4
Feb 2022,212.6
Mar 2022,41.4
Apr 2022,31.8
May 2022,66.4
Jun 2022,45.2
Jul 2022,44.2
Aug 2022,97.4
Sep 2022,119.6
Oct 2022,176.2
Nov 2022,143.6
Dec 2022,140.2
Jan 2023,161
Feb 2023,60
Mar 2023,87.4
Apr 2023,45.2
May 2023,32
Jun 2023,54.2
Jul 2023,167.2
Aug 2023,64.6
Sep 2023,135.6
Oct 2023,179
Nov 2023,82.9
Dec 2023,184.8
Jan 2024,129.8
Feb 2024,100.6
Mar 2024,104.8
Apr 2024,141.4
May 2024,90.2
Jun 2024,63
Jul 2024,57.6
Aug 2024,179.8
Sep 2024,50.4
Oct 2024,71.4
Nov 2024,50
Dec 2024,147.2
Jan 2025,61.6
Feb 2025,71
Mar 2025,65
Apr 2025,38.2
May 2025,92.2
Jun 2025,89.4
Jul 2025,39
Aug 2025,47
