Timestamp,Value
Sep 2015,51.6
Oct 2015,44
Nov 2015,61.6
Dec 2015,115.8
Jan 2016,134.8
Feb 2016,74.8
Mar 2016,48.4
Apr 2016,79.4
May 2016,61.8
Jun 2016,98.8
Jul 2016,77.6
Aug 2016,66
Sep 2016,58.8
Oct 2016,54
Nov 2016,83.8
Dec 2016,63.6
Jan 2017,76.2
Feb 2017,45.4
Mar 2017,44
Apr 2017,53.4
May 2017,34
Jun 2017,128.4
Jul 2017,64.8
Aug 2017,90
Sep 2017,121.4
Oct 2017,60
Nov 2017,119.6
Dec 2017,65.2
Jan 2018,44.8
Feb 2018,43.4
Mar 2018,45.6
Apr 2018,44.2
May 2018,25.8
Jun 2018,24.8
Jul 2018,44.4
Aug 2018,40
Sep 2018,86.8
Oct 2018,91
Nov 2018,48.8
Dec 2018,37.6
Jan 2019,70.8
Feb 2019,52.8
Mar 2019,96.8
Apr 2019,59.4
May 2019,161.6
Jun 2019,83.2
Jul 2019,79.6
Aug 2019,140.8
Sep 2019,66.2
Oct 2019,69
Nov 2019,103.6
Dec 2019,73
Jan 2020,47.8
Feb 2020,122.8
Mar 2020,26.8
Apr 2020,14.8
May 2020,42.4
Jun 2020,58.4
Jul 2020,86.2
Aug 2020,46.6
Sep 2020,57.6
Oct 2020,5
Nov 2020,34.2
Dec 2020,150.2
Jan 2021,109.2
Feb 2021,25.2
Mar 2021,58.4
Apr 2021,47
May 2021,138.8
Jun 2021,18
Jul 2021,102.6
Aug 2021,67.6
Sep 2021,64.8
Oct 2021,99.8
Nov 2021,106.6
Dec 2021,69.4
Jan 2022,45
Feb 2022,103
Mar 2022,30
Apr 2022,94.6
May 2022,70.4
Jun 2022,26
Jul 2022,68
Aug 2022,40.4
Sep 2022,103.2
Oct 2022,64.2
Nov 2022,69.4
Dec 2022,77.4
Jan 2023,74.2
Feb 2023,52
Mar 2023,91.2
Apr 2023,47.8
May 2023,46
Jun 2023,34.8
Jul 2023,78
Aug 2023,60
Sep 2023,98.6
Oct 2023,156.2
Nov 2023,78.4
Dec 2023,134.2
Jan 2024,69.4
Feb 2024,81.6
Mar 2024,61.4
Apr 2024,93.4
May 2024,58
Jun 2024,87.4
Jul 2024,76.4
Aug 2024,47.6
Sep 2024,97.4
Oct 2024,63.4
Nov 2024,39
Dec 2024,171.8
Jan 2025,62.4
Feb 2025,18.2
Mar 2025,43.8
Apr 2025,19.8
May 2025,44
Jun 2025,42.4
Jul 2025,70.8
Aug 2025,17.2
