Timestamp,Value
Sep 2015,28
Oct 2015,72.4
Nov 2015,95.6
Dec 2015,313.6
Jan 2016,92.2
Feb 2016,19.2
Mar 2016,35.8
Apr 2016,71
May 2016,36.8
Jun 2016,95.4
Jul 2016,97.2
Aug 2016,74.4
Sep 2016,72.6
Oct 2016,61
Nov 2016,89.8
Dec 2016,82.4
Jan 2017,52.4
Feb 2017,76.6
Mar 2017,71.2
Apr 2017,39
May 2017,48.6
Jun 2017,92.2
Jul 2017,67.2
Aug 2017,67
Sep 2017,125
Oct 2017,85
Nov 2017,84.2
Dec 2017,40.8
Jan 2018,89
Feb 2018,25.4
Mar 2018,54.8
Apr 2018,47.4
May 2018,41.6
Jun 2018,76.6
Jul 2018,52.2
Aug 2018,45.6
Sep 2018,129.2
Oct 2018,80.6
Nov 2018,152.8
Dec 2018,80
Jan 2019,51.6
Feb 2019,36.2
Mar 2019,137.4
Apr 2019,32.8
May 2019,136
Jun 2019,69.8
Jul 2019,90.6
Aug 2019,143.8
Sep 2019,75.8
Oct 2019,84.2
Nov 2019,91.8
Dec 2019,144.6
Jan 2020,115.6
Feb 2020,150.6
Mar 2020,49.8
Apr 2020,15.6
May 2020,43.6
Jun 2020,112.6
Jul 2020,99.4
Aug 2020,78.2
Sep 2020,62.2
Oct 2020,163
Nov 2020,83.2
Dec 2020,129.2
Jan 2021,33.8
Feb 2021,85.4
Mar 2021,82.2
Apr 2021,20.6
May 2021,108.4
Jun 2021,22
Jul 2021,116.4
Aug 2021,81.2
Sep 2021,69.2
Oct 2021,137.6
Nov 2021,91.8
Dec 2021,80
Jan 2022,46.6
Feb 2022,141.2
Mar 2022,50.2
Apr 2022,70.2
May 2022,78
Jun 2022,45.8
Jul 2022,81.2
Aug 2022,68
Sep 2022,163.4
Oct 2022,123.6
Nov 2022,133.2
Dec 2022,47
Jan 2023,106.8
Feb 2023,52
Mar 2023,102.6
Apr 2023,71.4
May 2023,35.4
Jun 2023,36.8
Jul 2023,124.4
Aug 2023,66.2
Sep 2023,116.4
Oct 2023,219.2
Nov 2023,69.8
Dec 2023,168.6
Jan 2024,117
Feb 2024,109.2
Mar 2024,101
Apr 2024,94.2
May 2024,61.4
Jun 2024,71
Jul 2024,70.6
Aug 2024,89.8
Sep 2024,87.2
Oct 2024,70.4
Nov 2024,42.8
Dec 2024,219.4
Jan 2025,64.4
Feb 2025,80.4
Mar 2025,48.2
Apr 2025,25.4
May 2025,49.2
Jun 2025,56.2
Jul 2025,74.4
Aug 2025,41.6
