Timestamp,Value
Sep 2015,49.6
Oct 2015,115.6
Nov 2015,319.4
Dec 2015,418
Jan 2016,250.8
Feb 2016,197.2
Mar 2016,95.2
Apr 2016,101.8
May 2016,55.6
Jun 2016,66.6
Jul 2016,147.4
Aug 2016,113.2
Sep 2016,147.4
Oct 2016,62
Nov 2016,125.4
Dec 2016,130.2
Jan 2017,120.2
Feb 2017,226.8
Mar 2017,132.4
Apr 2017,36.2
May 2017,51.2
Jun 2017,169.2
Jul 2017,126.4
Aug 2017,160.2
Sep 2017,171.2
Oct 2017,216.8
Nov 2017,156.8
Dec 2017,144.6
Jan 2018,249.2
Feb 2018,101.4
Mar 2018,82
Apr 2018,107.8
May 2018,32.4
Jun 2018,132
Jul 2018,81.2
Aug 2018,101.8
Sep 2018,118.2
Oct 2018,142.6
Nov 2018,314.2
Dec 2018,171
Jan 2019,85.6
Feb 2019,93.8
Mar 2019,244
Apr 2019,87.8
May 2019,67
Jun 2019,84.2
Jul 2019,125.4
Aug 2019,202.2
Sep 2019,178.6
Oct 2019,146
Nov 2019,95.6
Dec 2019,204.6
Jan 2020,205
Feb 2020,356.4
Mar 2020,98.8
Apr 2020,30
May 2020,58
Jun 2020,174
Jul 2020,118.4
Aug 2020,172.4
Sep 2020,112.2
Oct 2020,234.6
Nov 2020,219.8
Dec 2020,246.8
Jan 2021,130.4
Feb 2021,263.2
Mar 2021,123.2
Apr 2021,11.6
May 2021,161
Jun 2021,22
Jul 2021,29.8
Aug 2021,90.4
Sep 2021,101.4
Oct 2021,231.2
Nov 2021,137.2
Dec 2021,127.8
Jan 2022,69.8
Feb 2022,266.8
Mar 2022,113.6
Apr 2022,67.8
May 2022,83.6
Jun 2022,141.4
Jul 2022,63.4
Aug 2022,89.6
Sep 2022,186.2
Oct 2022,273.4
Nov 2022,239.8
Dec 2022,172.2
Jan 2023,192
Feb 2023,54.4
Mar 2023,175.2
Apr 2023,94.4
May 2023,32.2
Jun 2023,74.2
Jul 2023,194.8
Aug 2023,94
Sep 2023,219.4
Oct 2023,92.2
Nov 2023,127.2
Dec 2023,334.6
Jan 2024,158.2
Feb 2024,147.8
Mar 2024,133
Apr 2024,185.4
May 2024,138
Jun 2024,91.6
Jul 2024,73.2
Aug 2024,226.8
Sep 2024,82.4
Oct 2024,126.6
Nov 2024,71.8
Dec 2024,202.2
Jan 2025,104
Feb 2025,150
Mar 2025,38
Apr 2025,43
May 2025,86.8
Jun 2025,120.8
Jul 2025,117.4
Aug 2025,83.6
