Timestamp,Value
Sep 2015,38.8
Oct 2015,101.8
Nov 2015,289.2
Dec 2015,380.2
Jan 2016,252.2
Feb 2016,184
Mar 2016,107
Apr 2016,90.4
May 2016,39.6
Jun 2016,57.8
Jul 2016,141.2
Aug 2016,150.6
Sep 2016,207.6
Oct 2016,60.8
Nov 2016,114.4
Dec 2016,154.2
Jan 2017,94.4
Feb 2017,144.2
Mar 2017,123
Apr 2017,56.8
May 2017,37.4
Jun 2017,122.4
Jul 2017,103.2
Aug 2017,127.8
Sep 2017,134.4
Oct 2017,196.6
Nov 2017,123.4
Dec 2017,153.4
Jan 2018,189.6
Feb 2018,123.2
Mar 2018,88
Apr 2018,78.4
May 2018,62
Jun 2018,60.8
Jul 2018,79.4
Aug 2018,125.4
Sep 2018,187.6
Oct 2018,223.6
Nov 2018,129.6
Dec 2018,89.8
Jan 2019,16.2

Mar 2019,2.2
Apr 2019,15.2
May 2019,101.4
Jun 2019,95
Jul 2019,176.8
Aug 2019,262.2
Sep 2019,162.4
Oct 2019,201.2
Nov 2019,37.2
Dec 2019,303.6
Jan 2020,346.8
Feb 2020,270.4
Mar 2020,216
Apr 2020,32
May 2020,95.2
Jun 2020,94.8
Jul 2020,181.2
Aug 2020,103
Sep 2020,182.4
Oct 2020,274.6
Nov 2020,266.8
Dec 2020,192.8
Jan 2021,142.4
Feb 2021,111.2
Mar 2021,222.4
Apr 2021,24
May 2021,41.6
Jun 2021,91.8
Jul 2021,37.4
Aug 2021,70.6
Sep 2021,140.4
Oct 2021,337.2
Nov 2021,156.2
Dec 2021,153.6
Jan 2022,159.6
Feb 2022,263.4
Mar 2022,59.4
Apr 2022,83.6
May 2022,148.8
Jun 2022,116.2
Jul 2022,95.6
Aug 2022,88.4
Sep 2022,103.6
Oct 2022,248.6
Nov 2022,247.4
Dec 2022,104
Jan 2023,192
Feb 2023,117.6
Mar 2023,135.8
Apr 2023,72.4
May 2023,26.8
Jun 2023,98.8
Jul 2023,126.8
Aug 2023,130
Sep 2023,213.8
Oct 2023,218.8
Nov 2023,99.6
Dec 2023,219.8
Jan 2024,170.2
Feb 2024,193.8
Mar 2024,85.4
Apr 2024,115.8
May 2024,46
Jun 2024,105.2
Jul 2024,68.6
Aug 2024,280.4
Sep 2024,50.2
Oct 2024,144.2
Nov 2024,17.4
Dec 2024,52.4
Jan 2025,145.6
Feb 2025,137
Mar 2025,105
Apr 2025,36.6
May 2025,95
Jun 2025,139.8
Jul 2025,111.4
Aug 2025,75.6
