Timestamp,Value
Mar 2018,98.6
Apr 2018,181
May 2018,77.4
Jun 2018,156.4
Jul 2018,103.8
Aug 2018,126.2
Sep 2018,231.2
Oct 2018,238
Nov 2018,372.2
Dec 2018,215.6
Jan 2019,126.8
Feb 2019,184.6
Mar 2019,275.4
Apr 2019,75
May 2019,111.8
Jun 2019,152.6
Jul 2019,117.4
Aug 2019,346.2
Sep 2019,180.2
Oct 2019,224
Nov 2019,107.6
Dec 2019,356.8
Jan 2020,353.6
Feb 2020,486.2
Mar 2020,213.8
Apr 2020,41
May 2020,105.8
Jun 2020,191.8
Jul 2020,159.2
Aug 2020,171.4
Sep 2020,178.8
Oct 2020,374
Nov 2020,331.8
Dec 2020,308.6
Jan 2021,173.2
Feb 2021,382.8
Mar 2021,266
Apr 2021,43
May 2021,157.2
Jun 2021,59.8
Jul 2021,74.8
Aug 2021,149.2
Sep 2021,130.6
Oct 2021,343
Nov 2021,175
Dec 2021,195.6
Jan 2022,170.8
Feb 2022,421
Mar 2022,134.8
Apr 2022,76.8
May 2022,191.2
Jun 2022,173.8
Jul 2022,110.4
Aug 2022,97.8
Sep 2022,170.6
Oct 2022,369.8
Nov 2022,316.4
Dec 2022,254
Jan 2023,339.2
Feb 2023,146.2
Mar 2023,241.8
Apr 2023,115.6
May 2023,45.2
Jun 2023,80.8
Jul 2023,247.4
Aug 2023,113
Sep 2023,285.8
Oct 2023,298.8
Nov 2023,194.4
Dec 2023,399.4
Jan 2024,301.8
Feb 2024,234.2
Mar 2024,189.8
Apr 2024,224.8
May 2024,117.6
Jun 2024,102.8
Jul 2024,89
Aug 2024,338.4
Sep 2024,65.8
Oct 2024,199.8
Nov 2024,132
Dec 2024,358.8
Jan 2025,132
Feb 2025,231.2
Mar 2025,114.8
Apr 2025,85.6
May 2025,119.4
Jun 2025,145.6
Jul 2025,103.8
Aug 2025,149.4
