Timestamp,Value
Sep 2015,37.4
Oct 2015,56.6
Nov 2015,60.4
Dec 2015,165
Jan 2016,196
Feb 2016,47
Mar 2016,36
Apr 2016,73.2
May 2016,42.6
Jun 2016,111
Jul 2016,83.6
Aug 2016,49
Sep 2016,42.4
Oct 2016,78.8
Nov 2016,91
Dec 2016,39.2
Jan 2017,28.2
Feb 2017,55.6
Mar 2017,41.2
Apr 2017,37.8
May 2017,21
Jun 2017,89
Jul 2017,58.6
Aug 2017,58.4
Sep 2017,84.6
Oct 2017,55.2
Nov 2017,87.2
Dec 2017,14.8
Jan 2018,34
Feb 2018,33.4
Mar 2018,107.2
Apr 2018,32.2
May 2018,29.6
Jun 2018,61.2
Jul 2018,49.6
Aug 2018,47.8
Sep 2018,54.4
Oct 2018,85.2
Nov 2018,116.4
Dec 2018,60.6
Jan 2019,39.4
Feb 2019,9.2
Mar 2019,69.2
Apr 2019,65.2
May 2019,113.4
Jun 2019,111.4
Jul 2019,79.8
Aug 2019,43.2
Sep 2019,62.8
Oct 2019,61.8
Nov 2019,164.8
Dec 2019,65.6
Jan 2020,45.8
Feb 2020,89.8
Mar 2020,26.8
Apr 2020,18.4
May 2020,58.8
Jun 2020,81.8
Jul 2020,79.2
Aug 2020,110.6
Sep 2020,26.6
Oct 2020,185
Nov 2020,38.8
Dec 2020,158.4
Jan 2021,34.4
Feb 2021,37
Mar 2021,38
Apr 2021,27
May 2021,139.2
Jun 2021,13.6
Jul 2021,79.6
Aug 2021,74.8
Sep 2021,66.6
Oct 2021,104.6
Nov 2021,76
Dec 2021,79.2
Jan 2022,22.6
Feb 2022,75.8
Mar 2022,32.8
Apr 2022,69
May 2022,42.8
Jun 2022,24.6
Jul 2022,43.4
Aug 2022,72
Sep 2022,279.6
Oct 2022,78.2
Nov 2022,155.4
Dec 2022,50
Jan 2023,63
Feb 2023,40.4
Mar 2023,77.6
Apr 2023,64.4
May 2023,30.2
Jun 2023,26
Jul 2023,94.2
Aug 2023,45.6
Sep 2023,104.4
Oct 2023,288.4
Nov 2023,72.4
Dec 2023,141.8
Jan 2024,81.8
Feb 2024,45.8
Mar 2024,94.2
Apr 2024,100.2
May 2024,73.8
Jun 2024,57.6
Jul 2024,122.2
Aug 2024,43.2
Sep 2024,66.6
Oct 2024,61.2
Nov 2024,27.4
Dec 2024,147.8
Jan 2025,50.2
Feb 2025,47.4
Mar 2025,32.6
Apr 2025,25
May 2025,41.2
Jun 2025,40.8
Jul 2025,68.4
Aug 2025,17.2
