Timestamp,Value
Sep 2015,54
Oct 2015,118.6
Nov 2015,304.8
Dec 2015,476.4
Jan 2016,327
Feb 2016,207.2
Mar 2016,102
Apr 2016,101.8
May 2016,96
Jun 2016,105.6
Jul 2016,119.8
Aug 2016,105.4
Sep 2016,160
Oct 2016,43.4
Nov 2016,81.6
Dec 2016,135.8
Jan 2017,69
Feb 2017,208.4
Mar 2017,171.2
Apr 2017,19.4
May 2017,68.2
Jun 2017,169.6
Jul 2017,108.8
Aug 2017,152.8
Sep 2017,117.4
Oct 2017,153.8
Nov 2017,132.4
Dec 2017,136.4
Jan 2018,241.2
Feb 2018,92
Mar 2018,86.2
Apr 2018,126
May 2018,66.6
Jun 2018,93.4
Jul 2018,82.4
Aug 2018,101.2
Sep 2018,148.2
Oct 2018,140
Nov 2018,321.4
Dec 2018,160.4
Jan 2019,57
Feb 2019,159
Mar 2019,247.8
Apr 2019,80.6
May 2019,89.6
Jun 2019,96.8
Jul 2019,112.4
Aug 2019,232.8
Sep 2019,188.4
Oct 2019,131.4
Nov 2019,87.6
Dec 2019,201.6
Jan 2020,305.4
Feb 2020,404.4
Mar 2020,132.4
Apr 2020,30.4
May 2020,58.8
Jun 2020,208
Jul 2020,159.8
Aug 2020,214.2
Sep 2020,100.6
Oct 2020,199.2
Nov 2020,244.4
Dec 2020,252.6
Jan 2021,122.8
Feb 2021,306.2
Mar 2021,179.8
Apr 2021,15
May 2021,149.2
Jun 2021,30.6
Jul 2021,28
Aug 2021,84.8
Sep 2021,133.4
Oct 2021,355
Nov 2021,104.4
Dec 2021,120.4
Jan 2022,82.6
Feb 2022,271.2
Mar 2022,141.2
Apr 2022,59.2
May 2022,98.4
Jun 2022,96.6
Jul 2022,95.4
Aug 2022,39
Sep 2022,190.2
Oct 2022,290.2
Nov 2022,258.8
Dec 2022,202.6
Jan 2023,203.4
Feb 2023,59.8
Mar 2023,191
Apr 2023,79.4
May 2023,38.2
Jun 2023,57.4
Jul 2023,223.4
Aug 2023,126
Sep 2023,249.8
Oct 2023,120.2
Nov 2023,149.6
Dec 2023,277.6
Jan 2024,190
Feb 2024,133.4
Mar 2024,159
Apr 2024,180.4
May 2024,132.8
Jun 2024,76.8
Jul 2024,76
Aug 2024,294.4
Sep 2024,68.6
Oct 2024,113
Nov 2024,106.2
Dec 2024,178.6
Jan 2025,92.4
Feb 2025,158.8
Mar 2025,45.8
Apr 2025,60.4
May 2025,87.4
Jun 2025,138.8
Jul 2025,88.8
Aug 2025,75
