Timestamp,Value
Sep 2015,55.8
Oct 2015,76.2
Nov 2015,229.2
Dec 2015,356.2
Jan 2016,245
Feb 2016,139.6
Mar 2016,66.2
Apr 2016,77.6
May 2016,77.6
Jun 2016,101.6
Jul 2016,110.4
Aug 2016,65.4
Sep 2016,125
Oct 2016,40.2
Nov 2016,64.2
Dec 2016,86.2
Jan 2017,62
Feb 2017,138.4
Mar 2017,107.6
Apr 2017,16.6
May 2017,55.8
Jun 2017,149.8
Jul 2017,83.2
Aug 2017,108.6
Sep 2017,102.8
Oct 2017,87.6
Nov 2017,93.2
Dec 2017,79.8
Jan 2018,181.8
Feb 2018,72.2
Mar 2018,66.6
Apr 2018,88.6
May 2018,36.2
Jun 2018,61.4
Jul 2018,70.8
Aug 2018,76.6
Sep 2018,109.2
Oct 2018,102.4
Nov 2018,200.6
Dec 2018,120.6
Jan 2019,36.2
Feb 2019,83.8
Mar 2019,158
Apr 2019,61.2
May 2019,52.4
Jun 2019,64.2
Jul 2019,105.2
Aug 2019,185.6
Sep 2019,165.2
Oct 2019,88
Nov 2019,57.8
Dec 2019,158.8
Jan 2020,161.8
Feb 2020,246.6
Mar 2020,75.6
Apr 2020,13.8
May 2020,31.6
Jun 2020,150
Jul 2020,110.8
Aug 2020,152.4
Sep 2020,83
Oct 2020,151.2
Nov 2020,130.8
Dec 2020,165.6
Jan 2021,95
Feb 2021,196.8
Mar 2021,105.2
Apr 2021,7.6
May 2021,100.8
Jun 2021,28
Jul 2021,33.6
Aug 2021,56
Sep 2021,98.2
Oct 2021,258.2
Nov 2021,75.4
Dec 2021,113
Jan 2022,47.4
Feb 2022,184.2
Mar 2022,81.8
Apr 2022,47.2
May 2022,57.2
Jun 2022,89.4
Jul 2022,44.6
Aug 2022,59.6
Sep 2022,110.8
Oct 2022,180.4
Nov 2022,175
Dec 2022,137.2
Jan 2023,122.8
Feb 2023,34
Mar 2023,119.6
Apr 2023,65.6
May 2023,30.6
Jun 2023,39
Jul 2023,161.4
Aug 2023,72
Sep 2023,155.4
Oct 2023,69.6
Nov 2023,86.2
Dec 2023,181
Jan 2024,121.6
Feb 2024,78.4
Mar 2024,116.8
Apr 2024,120.6
May 2024,92.8
Jun 2024,62.4
Jul 2024,56.6
Aug 2024,186.6
Sep 2024,28.6
Oct 2024,80.8
Nov 2024,47.4
Dec 2024,112.4
Jan 2025,73
Feb 2025,102.4
Mar 2025,29.4
Apr 2025,46.6
May 2025,74
Jun 2025,90.6
Jul 2025,85.4
Aug 2025,68.2
