Timestamp,Value
Sep 2015,35.4
Oct 2015,24.6
Nov 2015,107.4
Dec 2015,114.4
Jan 2016,135.6
Feb 2016,54.2
Mar 2016,26.4
Apr 2016,80
May 2016,20.4
Jun 2016,65.2
Jul 2016,86.4
Aug 2016,39.6
Sep 2016,48.8
Oct 2016,42
Nov 2016,93.8
Dec 2016,31.8
Jan 2017,30
Feb 2017,61.4
Mar 2017,38
Apr 2017,10.6
May 2017,28
Jun 2017,203.8
Jul 2017,63.4
Aug 2017,62.8
Sep 2017,64.8
Oct 2017,43.4
Nov 2017,46.6
Dec 2017,38.6
Jan 2018,53.6
Feb 2018,36.4
Mar 2018,63.8
Apr 2018,60.2
May 2018,19
Jun 2018,42.4
Jul 2018,32.6
Aug 2018,79.8
Sep 2018,54
Oct 2018,36.4
Nov 2018,77.8
Dec 2018,30.4
Jan 2019,8.2
Feb 2019,10
Mar 2019,63.2
Apr 2019,38
May 2019,69.4
Jun 2019,135.4
Jul 2019,81.8
Aug 2019,92.4
Sep 2019,47
Oct 2019,99.2
Nov 2019,127
Dec 2019,41.4
Jan 2020,42.6
Feb 2020,99.6
Mar 2020,37.8
Apr 2020,2.6
May 2020,35.8
Jun 2020,87
Jul 2020,61.8
Aug 2020,96.8
Sep 2020,98.1
Oct 2020,127.8
Nov 2020,24.2
Dec 2020,132.4
Jan 2021,116.6
Feb 2021,57.4
Mar 2021,28
Apr 2021,14.6
May 2021,111.8
Jun 2021,37.4
Jul 2021,76.2
Aug 2021,50.2
Sep 2021,44.8
Oct 2021,132.4
Nov 2021,45
Dec 2021,75.6
Jan 2022,17.8
Feb 2022,88
Mar 2022,43.6
Apr 2022,52.4
May 2022,54.8
Jun 2022,23.8
Jul 2022,31.8
Aug 2022,20.6
Sep 2022,84.8
Oct 2022,63.8
Nov 2022,83.6
Dec 2022,74.2
Jan 2023,24.8
Feb 2023,33.8
Mar 2023,73.6
Apr 2023,42.2
May 2023,36.4
Jun 2023,45.4
Jul 2023,93
Aug 2023,67.4
Sep 2023,55.6
Oct 2023,160
Nov 2023,95.8
Dec 2023,139.2
Jan 2024,63.8
Feb 2024,38.8
Mar 2024,69.4
Apr 2024,86.6
May 2024,139.6
Jun 2024,36
Jul 2024,54.2
Aug 2024,46.2
Sep 2024,49.2
Oct 2024,75.8
Nov 2024,19.4
Dec 2024,56.6
Jan 2025,42.2
Feb 2025,22.2
Mar 2025,11
Apr 2025,12.8
May 2025,25.4
Jun 2025,68.2
Jul 2025,53.2
Aug 2025,17
