Timestamp,Value
Sep 2015,35.6
Oct 2015,25
Nov 2015,164
Dec 2015,232
Jan 2016,171.2
Feb 2016,86.8
Mar 2016,44.6
Apr 2016,84.6
May 2016,45.2
Jun 2016,69.8
Jul 2016,78
Aug 2016,59.4
Sep 2016,53.6
Oct 2016,33
Nov 2016,77.4
Dec 2016,57
Jan 2017,34.8
Feb 2017,74.2
Mar 2017,75
Apr 2017,13.8
May 2017,32
Jun 2017,152.8
Jul 2017,67.2
Aug 2017,70.8
Sep 2017,79.4
Oct 2017,76
Nov 2017,55.4
Dec 2017,61
Jan 2018,92
Feb 2018,33.5
Mar 2018,53.8
Apr 2018,80.4
May 2018,21.4
Jun 2018,102.2
Jul 2018,34.2
Aug 2018,59.8
Sep 2018,70.8
Oct 2018,47.8
Nov 2018,69.8
Dec 2018,45
Jan 2019,20
Feb 2019,31
Mar 2019,23.6
Apr 2019,88.1
May 2019,64.6
Jun 2019,95.6
Jul 2019,110
Aug 2019,106.6
Sep 2019,78.6
Oct 2019,82.8
Nov 2019,114.4
Dec 2019,78
Jan 2020,88.4
Feb 2020,178.8
Mar 2020,69.2
Apr 2020,6.8
May 2020,41.4
Jun 2020,72.4
Jul 2020,57.6
Aug 2020,123.8
Sep 2020,36.4
Oct 2020,141.4
Nov 2020,58.2
Dec 2020,122
Jan 2021,116.8
Feb 2021,52.6
Mar 2021,55.4
Apr 2021,22.2
May 2021,118.2
Jun 2021,25.2
Jul 2021,60.2
Aug 2021,76
Sep 2021,73.8
Oct 2021,155.9
Nov 2021,51
Dec 2021,65.8
Jan 2022,43
Feb 2022,156.2
Mar 2022,43.2
Apr 2022,37.4
May 2022,51.8
Jun 2022,30.2
Jul 2022,39.6
Aug 2022,49.6
Sep 2022,101
Oct 2022,94.6
Nov 2022,88.8
Dec 2022,94.2
Jan 2023,72.2
Feb 2023,49.6
Mar 2023,91.8
Apr 2023,32.8
May 2023,31.8
Jun 2023,57.6
Jul 2023,100.4
Aug 2023,57.6
Sep 2023,88.4
Oct 2023,123.8
Nov 2023,82
Dec 2023,130.8
Jan 2024,94.2
Feb 2024,57
Mar 2024,104.2
Apr 2024,110.8
May 2024,204.8
Jun 2024,57.6
Jul 2024,67
Aug 2024,81.6
Sep 2024,35.8
Oct 2024,79.4
Nov 2024,19.6
Dec 2024,95.2
Jan 2025,70.8
Feb 2025,33.8
Mar 2025,26.4
Apr 2025,23.4
May 2025,44.4
Jun 2025,66
Jul 2025,73.6
Aug 2025,24
