Timestamp,Value
Sep 2015,38.8
Oct 2015,82.8
Nov 2015,277.6
Dec 2015,417.6
Jan 2016,238.8
Feb 2016,160
Mar 2016,108.4
Apr 2016,87.4
May 2016,58.2
Jun 2016,102.4
Jul 2016,143.4
Aug 2016,97.6
Sep 2016,154
Oct 2016,55.2
Nov 2016,100.2
Dec 2016,103
Jan 2017,64.4
Feb 2017,142.4
Mar 2017,120
Apr 2017,39.2
May 2017,59.8
Jun 2017,167.2
Jul 2017,108.6
Aug 2017,148.2
Sep 2017,123
Oct 2017,168.8
Nov 2017,127.2
Dec 2017,112.2
Jan 2018,152.6
Feb 2018,80.2
Mar 2018,74.4
Apr 2018,89.2
May 2018,42.4
Jun 2018,110.4
Jul 2018,65.2
Aug 2018,96.2
Sep 2018,123.8
Oct 2018,120
Nov 2018,219.2
Dec 2018,130.8
Jan 2019,52.2
Feb 2019,105.4
Mar 2019,185.8
Apr 2019,66.8
May 2019,81
Jun 2019,86.2
Jul 2019,91.2
Aug 2019,154.2
Sep 2019,127.2
Oct 2019,99.2
Nov 2019,84
Dec 2019,156.4
Jan 2020,183.4
Feb 2020,303.8
Mar 2020,80.6
Apr 2020,22.6
May 2020,50.2
Jun 2020,147
Jul 2020,141.2
Aug 2020,152
Sep 2020,93.4
Oct 2020,186
Nov 2020,155
Dec 2020,202
Jan 2021,100.2
Feb 2021,171
Mar 2021,123.6
Apr 2021,23.4
May 2021,107.2
Jun 2021,24.8
Jul 2021,31.8
Aug 2021,85.6
Sep 2021,109
Oct 2021,261.8
Nov 2021,99.6
Dec 2021,97.2
Jan 2022,61.4
Feb 2022,227.2
Mar 2022,98
Apr 2022,74.2
May 2022,80.2
Jun 2022,86
Jul 2022,76.6
Aug 2022,82.8
Sep 2022,132.2
Oct 2022,217.4
Nov 2022,179.8
Dec 2022,163.8
Jan 2023,164.4
Feb 2023,50
Mar 2023,129.6
Apr 2023,50.4
May 2023,42.4
Jun 2023,73.8
Jul 2023,193
Aug 2023,100
Sep 2023,118.6
Oct 2023,96.4
Nov 2023,109.4
Dec 2023,205.4
Jan 2024,143.4
Feb 2024,106.2
Mar 2024,26.2
Apr 2024,33.6
May 2024,126
Jun 2024,87.6
Jul 2024,72.2
Aug 2024,158.6
Sep 2024,36.8
Oct 2024,87.8
Nov 2024,75
Dec 2024,137.2
Jan 2025,68
Feb 2025,124.2
Mar 2025,50.6
Apr 2025,38
May 2025,92.2
Jun 2025,141
Jul 2025,90.2
Aug 2025,56.8
