Timestamp,Value
Sep 2015,31.2
Oct 2015,53.8
Nov 2015,237.2
Dec 2015,205.2
Jan 2016,178.4
Feb 2016,145.6
Mar 2016,37
Apr 2016,79.4
May 2016,72.4
Jun 2016,64.8
Jul 2016,122.4
Aug 2016,67.6
Sep 2016,129.4
Oct 2016,32.8
Nov 2016,74.8
Dec 2016,76.2
Jan 2017,37.6
Feb 2017,123.6
Mar 2017,93.4
Apr 2017,12.8
May 2017,57.4
Jun 2017,143.6
Jul 2017,92.8
Aug 2017,125.8
Sep 2017,86.6
Oct 2017,110.6
Nov 2017,81.6
Dec 2017,90.6
Jan 2018,130.8
Feb 2018,48.8
Mar 2018,72.4
Apr 2018,73
May 2018,18.4
Jun 2018,93.4
Jul 2018,36.2
Aug 2018,79.4
Sep 2018,102.6
Oct 2018,62.4
Nov 2018,122.8
Dec 2018,87.8
Jan 2019,36
Feb 2019,46.4
Mar 2019,122
Apr 2019,39.4
May 2019,75.2
Jun 2019,53
Jul 2019,87.2
Aug 2019,128.2
Sep 2019,91.2
Oct 2019,101.2
Nov 2019,55
Dec 2019,114
Jan 2020,100
Feb 2020,187.4
Mar 2020,63
Apr 2020,14
May 2020,39.6
Jun 2020,127.8
Jul 2020,117
Aug 2020,133.2
Sep 2020,80.8
Oct 2020,110.2
Nov 2020,87.6
Dec 2020,95.6
Jan 2021,12.4

Mar 2021,0
Apr 2021,10.4
May 2021,71.4
Jun 2021,26
Jul 2021,35
Aug 2021,59
Sep 2021,97.4
Oct 2021,130.6
Nov 2021,55.2
Dec 2021,81
Jan 2022,57
Feb 2022,152
Mar 2022,23.2
Apr 2022,28.6
May 2022,50.6
Jun 2022,45.8
Jul 2022,31.6
Aug 2022,58
Sep 2022,106.2
Oct 2022,129
Nov 2022,89
Dec 2022,89.8
Jan 2023,83.6
Feb 2023,42.2
Mar 2023,95.6
Apr 2023,43.2
May 2023,22.8
Jun 2023,51.8
Jul 2023,111.6
Aug 2023,54.4
Sep 2023,114.2
Oct 2023,153
Nov 2023,72.4
Dec 2023,184
Jan 2024,96
Feb 2024,90.2
Mar 2024,108.2
Apr 2024,132
May 2024,95.4
Jun 2024,52.2
Jul 2024,44.4
Aug 2024,165.2
Sep 2024,58.8
Oct 2024,77
Nov 2024,40.8
Dec 2024,90.8
Jan 2025,51
Feb 2025,66
Mar 2025,45.4
Apr 2025,37.6
May 2025,103.8
Jun 2025,92.8
Jul 2025,59.4
Aug 2025,48.6
