Timestamp,Value
Sep 2015,31.4
Oct 2015,31
Nov 2015,190.4
Dec 2015,249.4
Jan 2016,187
Feb 2016,121
Mar 2016,44
Apr 2016,77.4
May 2016,37.6
Jun 2016,75
Jul 2016,66.6
Aug 2016,77
Sep 2016,68
Oct 2016,36
Nov 2016,60.2
Dec 2016,75
Jan 2017,29.4
Feb 2017,108.8
Mar 2017,98.6
Apr 2017,11.6
May 2017,44.6
Jun 2017,202.8
Jul 2017,95.6
Aug 2017,98
Sep 2017,81
Oct 2017,83.2
Nov 2017,59.6
Dec 2017,61.8
Jan 2018,117
Feb 2018,49.2
Mar 2018,85.8
Apr 2018,96.6
May 2018,22.8
Jun 2018,78.8
Jul 2018,53
Aug 2018,73.6
Sep 2018,79.4
Oct 2018,56.6
Nov 2018,89
Dec 2018,57.2
Jan 2019,17.8
Feb 2019,43.8
Mar 2019,112.4
Apr 2019,69.2
May 2019,71
Jun 2019,132.8
Jul 2019,69.2
Aug 2019,139.4
Sep 2019,93.2
Oct 2019,120.2
Nov 2019,100
Dec 2019,107.4
Jan 2020,28
Feb 2020,216.6
Mar 2020,89.2
Apr 2020,11
May 2020,17
Jun 2020,93.6
Jul 2020,106.6
Aug 2020,157.2
Sep 2020,64
Oct 2020,147
Nov 2020,93.2
Dec 2020,157.4
Jan 2021,131.4
Feb 2021,86.8
Mar 2021,80.8
Apr 2021,13.2
May 2021,114.2
Jun 2021,29
Jul 2021,53.4
Aug 2021,70.8
Sep 2021,76.8
Oct 2021,138.2
Nov 2021,55.2
Dec 2021,78.2
Jan 2022,41.4
Feb 2022,149.6
Mar 2022,38
Apr 2022,36.4
May 2022,50.2
Jun 2022,45.8
Jul 2022,41.2
Aug 2022,59
Sep 2022,120.6
Oct 2022,121.6
Nov 2022,115.4
Dec 2022,121.8
Jan 2023,95.2
Feb 2023,50.2
Mar 2023,90.8
Apr 2023,43.4
May 2023,28.8
Jun 2023,66
Jul 2023,111.8
Aug 2023,80.2
Sep 2023,113.2
Oct 2023,133.4
Nov 2023,76.4
Dec 2023,166.6
Jan 2024,115.8
Feb 2024,82
Mar 2024,107.2
Apr 2024,135.4
May 2024,172.8
Jun 2024,67.2
Jul 2024,55.4
Aug 2024,113
Sep 2024,69.8
Oct 2024,81.8
Nov 2024,33.2
Dec 2024,100
Jan 2025,41.4
Feb 2025,46.6
Mar 2025,31.4
Apr 2025,29.6
May 2025,52.2
Jun 2025,92.6
Jul 2025,87.2
Aug 2025,34.6
