Timestamp,Value
Sep 2015,36.8
Oct 2015,47.4
Nov 2015,102.4
Dec 2015,105.4
Jan 2016,138.4
Feb 2016,31.8
Mar 2016,25.4
Apr 2016,79.4
May 2016,16
Jun 2016,57
Jul 2016,59.4
Aug 2016,37.6
Sep 2016,33.2
Oct 2016,55.8
Nov 2016,48.8
Dec 2016,32.8
Jan 2017,31.2
Feb 2017,51.2
Mar 2017,52.8
Apr 2017,12.6
May 2017,41
Jun 2017,120.4
Jul 2017,40.8
Aug 2017,105.8
Sep 2017,56
Oct 2017,45.4
Nov 2017,44.8
Dec 2017,8.4
Jan 2018,55.6
Feb 2018,23.8
Mar 2018,82.2
Apr 2018,41.8
May 2018,31.8
Jun 2018,28.6
Jul 2018,54.6
Aug 2018,50.4
Sep 2018,41.6
Oct 2018,60.6
Nov 2018,75.2
Dec 2018,38.4
Jan 2019,11
Feb 2019,22.6
Mar 2019,61.6
Apr 2019,23.2
May 2019,71.2
Jun 2019,57.2
Jul 2019,78.6
Aug 2019,107.2
Sep 2019,53
Oct 2019,63.6
Nov 2019,101
Dec 2019,46.4
Jan 2020,22
Feb 2020,93.8
Mar 2020,15.8
Apr 2020,7.8
May 2020,24.4
Jun 2020,73
Jul 2020,90.4
Aug 2020,106.6
Sep 2020,26
Oct 2020,148.2
Nov 2020,36.8
Dec 2020,86
Jan 2021,61.8
Feb 2021,61.8
Mar 2021,20.4
Apr 2021,16.4
May 2021,106.4
Jun 2021,15
Jul 2021,33.4
Aug 2021,64.4
Sep 2021,51.8
Oct 2021,96
Nov 2021,41.2
Dec 2021,68.4
Jan 2022,10.2
Feb 2022,54.2
Mar 2022,25.4
Apr 2022,33.2
May 2022,43.8
Jun 2022,23
Jul 2022,27.6
Aug 2022,42
Sep 2022,73.6
Oct 2022,67.2
Nov 2022,99.6
Dec 2022,90
Jan 2023,33
Feb 2023,24
Mar 2023,61.8
Apr 2023,43.2
May 2023,34
Jun 2023,41.4
Jul 2023,90.8
Aug 2023,47.8
Sep 2023,64
Oct 2023,161.2
Nov 2023,86.6
Dec 2023,169.6
Jan 2024,47.4
Feb 2024,39.4
Mar 2024,76.6
Apr 2024,83.4
May 2024,62
Jun 2024,46.2
Jul 2024,31.2
Aug 2024,54.4
Sep 2024,13.2
Oct 2024,62.2
Nov 2024,29.8
Dec 2024,71
Jan 2025,37.6
Feb 2025,32
Mar 2025,16.4
Apr 2025,8.8
May 2025,34.8
Jun 2025,45.6
Jul 2025,57.4
Aug 2025,39.8
