Timestamp,Value
Sep 2015,78.6
Oct 2015,144.4
Nov 2015,632.4
Dec 2015,413.8
Jan 2016,197.8
Feb 2016,238.2
Mar 2016,146
Apr 2016,152.4
May 2016,108.4
Jun 2016,91.2
Jul 2016,259.6
Aug 2016,214.6
Sep 2016,247
Oct 2016,90.4
Nov 2016,217.4
Dec 2016,197.4
Jan 2017,217.4
Feb 2017,220
Mar 2017,205.2
Apr 2017,87.2
May 2017,66.2
Jun 2017,240.6
Jul 2017,216.2
Aug 2017,309.4
Sep 2017,243.4
Oct 2017,324
Nov 2017,202.2
Dec 2017,231.6
Jan 2018,284
Feb 2018,173.8
Mar 2018,128.6
Apr 2018,127.2
May 2018,98.2
Jun 2018,54
Jul 2018,44.2
Aug 2018,202.6
Sep 2018,277.2
Oct 2018,292.2
Nov 2018,179.2
Dec 2018,208
Jan 2019,159
Feb 2019,141.6
Mar 2019,231.2
Apr 2019,40.4
May 2019,141
Jun 2019,107.8
Jul 2019,211.2
Aug 2019,189
Sep 2019,190
Oct 2019,65.4
Nov 2019,62.6
Dec 2019,358.8
Jan 2020,287.6
Feb 2020,272.8
Mar 2020,180.8
Apr 2020,69.8
May 2020,142.2
Jun 2020,136.2
Jul 2020,236.8
Aug 2020,123
Sep 2020,240.8
Oct 2020,307.2
Nov 2020,308
Dec 2020,192.2
Jan 2021,202.4
Feb 2021,162.6
Mar 2021,253
Apr 2021,32.4
May 2021,72.6
Jun 2021,108.6
Jul 2021,28
Aug 2021,83.6
Sep 2021,176.6
Oct 2021,290.8
Nov 2021,186.8
Dec 2021,188.8
Jan 2022,202.6
Feb 2022,288.8
Mar 2022,74.2
Apr 2022,129.4
May 2022,211.2
Jun 2022,137.8
Jul 2022,167.6
Aug 2022,110.4
Sep 2022,178.4
Oct 2022,315.2
Nov 2022,253.8
Dec 2022,137
Jan 2023,284.2
Feb 2023,173.4
Mar 2023,186.2
Apr 2023,106.8
May 2023,60.6
Jun 2023,134.2
Jul 2023,191
Aug 2023,121
Sep 2023,221.6
Oct 2023,314
Nov 2023,191.8
Dec 2023,343.4
Jan 2024,165.4
Feb 2024,242.8
Mar 2024,110
Apr 2024,41.4
May 2024,56.2
Jun 2024,125.8
Jul 2024,91.6
Aug 2024,362
Sep 2024,80.8
Oct 2024,182.6
Nov 2024,85
Dec 2024,346.4
Jan 2025,115.4
Feb 2025,156.6
Mar 2025,126.8
Apr 2025,60.6
May 2025,166.4
Jun 2025,204.4
Jul 2025,197.8
Aug 2025,113.8
