Timestamp,Value
Sep 2015,41.2
Oct 2015,96.8
Nov 2015,290
Dec 2015,416.4
Jan 2016,279
Feb 2016,140.6
Mar 2016,91.8
Apr 2016,82.4
May 2016,78.8
Jun 2016,91.2
Jul 2016,140.2
Aug 2016,92.4
Sep 2016,169.2
Oct 2016,35.8
Nov 2016,71.2
Dec 2016,111.8
Jan 2017,65
Feb 2017,148.8
Mar 2017,142.4
Apr 2017,25.6
May 2017,79
Jun 2017,155.2
Jul 2017,82.4
Aug 2017,132.4
Sep 2017,123
Oct 2017,134.2
Nov 2017,109
Dec 2017,104.4
Jan 2018,215.4
Feb 2018,86
Mar 2018,88.2
Apr 2018,106.4
May 2018,51
Jun 2018,108.8
Jul 2018,74
Aug 2018,102
Sep 2018,126.4
Oct 2018,132.2
Nov 2018,236.2
Dec 2018,142.4
Jan 2019,39
Feb 2019,111.4
Mar 2019,189.2
Apr 2019,65
May 2019,72
Jun 2019,67.6
Jul 2019,108
Aug 2019,156.4
Sep 2019,172.4
Oct 2019,88
Nov 2019,70.4
Dec 2019,148.2
Jan 2020,225
Feb 2020,334.4
Mar 2020,98
Apr 2020,14
May 2020,40.2
Jun 2020,200.8
Jul 2020,135.6
Aug 2020,133.6
Sep 2020,90.2
Oct 2020,161.4
Nov 2020,162.8
Dec 2020,212.2
Jan 2021,94.8
Feb 2021,216.4
Mar 2021,126
Apr 2021,11.8
May 2021,77.6
Jun 2021,29.4
Jul 2021,40.6
Aug 2021,74.8
Sep 2021,93
Oct 2021,257.6
Nov 2021,85.6
Dec 2021,93
Jan 2022,61.6
Feb 2022,220.8
Mar 2022,79.8
Apr 2022,45.4
May 2022,81.2
Jun 2022,75
Jul 2022,60
Aug 2022,70
Sep 2022,124.2
Oct 2022,247.2
Nov 2022,194.6
Dec 2022,170.4
Jan 2023,187
Feb 2023,34.2
Mar 2023,159.6
Apr 2023,55.2
May 2023,37.6
Jun 2023,54.6
Jul 2023,181.4
Aug 2023,103.6
Sep 2023,179.2
Oct 2023,85.8
Nov 2023,102.4
Dec 2023,201
Jan 2024,139.6
Feb 2024,111.8
Mar 2024,135.2
Apr 2024,151.8
May 2024,94.8
Jun 2024,52.2
Jul 2024,70.4
Aug 2024,260.6
Sep 2024,47.8
Oct 2024,102.4
Nov 2024,83.4
Dec 2024,171.4
Jan 2025,84
Feb 2025,134.8
Mar 2025,44.6
Apr 2025,53
May 2025,83.6
Jun 2025,134
Jul 2025,97.8
Aug 2025,75.4
