Timestamp,Value
Sep 2015,53.2
Oct 2015,58.6
Nov 2015,279.2
Dec 2015,365
Jan 2016,200.6
Feb 2016,208.4
Mar 2016,92.6
Apr 2016,83.4
May 2016,76.2
Jun 2016,87.4
Jul 2016,115.2
Aug 2016,86.6
Sep 2016,105.2
Oct 2016,47.4
Nov 2016,81.8
Dec 2016,159.2
Jan 2017,96.6
Feb 2017,149.4
Mar 2017,159.6
Apr 2017,119.4
May 2017,29.6
Jun 2017,117.6
Jul 2017,67.8
Aug 2017,114.2
Sep 2017,100.8
Oct 2017,196.4
Nov 2017,246.8
Dec 2017,177.2
Jan 2018,203
Feb 2018,100.6
Mar 2018,77.4
Apr 2018,75.4
May 2018,30.4
Jun 2018,87.8
Jul 2018,73.2
Aug 2018,64.4
Sep 2018,231.2
Oct 2018,192.4
Nov 2018,86.8
Dec 2018,128.4
Jan 2019,173.8
Feb 2019,116
Mar 2019,214
Apr 2019,56.6
May 2019,106.4
Jun 2019,69.8
Jul 2019,105.2
Aug 2019,162
Sep 2019,113.2
Oct 2019,149
Nov 2019,85.4
Dec 2019,187.2
Jan 2020,290.2
Feb 2020,349.6
Mar 2020,161.8
Apr 2020,50
May 2020,131
Jun 2020,135.8
Jul 2020,84.2
Aug 2020,63.8
Sep 2020,147.2
Oct 2020,255.6
Nov 2020,166.8
Dec 2020,240.6
Jan 2021,202
Feb 2021,131.4
Mar 2021,196.2
Apr 2021,63.2
May 2021,129
Jun 2021,16
Jul 2021,57.6
Aug 2021,60
Sep 2021,35.8
Oct 2021,193
Nov 2021,235
Dec 2021,124.2
Jan 2022,179
Feb 2022,289
Mar 2022,41
Apr 2022,110
May 2022,170.4
Jun 2022,54
Jul 2022,94.8
Aug 2022,49
Sep 2022,112.8
Oct 2022,179
Nov 2022,178.4
Dec 2022,83.6
Jan 2023,192.2
Feb 2023,163
Mar 2023,80.6
Apr 2023,56.6
May 2023,22.2
Jun 2023,52.2
Jul 2023,136
Aug 2023,80.2
Sep 2023,137.6
Oct 2023,207.2
Nov 2023,114.4
Dec 2023,265.2
Jan 2024,188.8
Feb 2024,227.2
Mar 2024,101.8
Apr 2024,133.8
May 2024,33.8
Jun 2024,130
Jul 2024,73.4
Aug 2024,137.6
Sep 2024,84.4
Oct 2024,143.8
Nov 2024,84
Dec 2024,385.8
Jan 2025,85.2
Feb 2025,105
Mar 2025,73
Apr 2025,39.8
May 2025,87.6
Jun 2025,94.6
Jul 2025,85.4
Aug 2025,102.6
