Timestamp,Value
Sep 2015,36.6
Oct 2015,35.8
Nov 2015,87
Dec 2015,163.2
Jan 2016,96.2
Feb 2016,75.2
Mar 2016,54
Apr 2016,75.2
May 2016,65.8
Jun 2016,62.6
Jul 2016,85.4
Aug 2016,60.2
Sep 2016,70.6
Oct 2016,33.2
Nov 2016,27.4
Dec 2016,82.6
Jan 2017,49.8
Feb 2017,56
Mar 2017,64.6
Apr 2017,26.6
May 2017,32.4
Jun 2017,130.2
Jul 2017,50
Aug 2017,69
Sep 2017,81.8
Oct 2017,62.6
Nov 2017,100.8
Dec 2017,50.8
Jan 2018,70.6
Feb 2018,35.6
Mar 2018,40.4
Apr 2018,49.4
May 2018,43.8
Jun 2018,19.4
Jul 2018,53.6
Aug 2018,36.6
Sep 2018,98
Oct 2018,77.2
Nov 2018,35.8
Dec 2018,29.6
Jan 2019,55.2
Feb 2019,30
Mar 2019,115.2
Apr 2019,39.2
May 2019,110.6
Jun 2019,86.4
Jul 2019,74.2
Aug 2019,172.8
Sep 2019,48.8
Oct 2019,66.8
Nov 2019,108.4
Dec 2019,76
Jan 2020,98
Feb 2020,173.2
Mar 2020,38
Apr 2020,19.2
May 2020,48.4
Jun 2020,135.6
Jul 2020,72.6
Aug 2020,36.4
Sep 2020,62.6
Oct 2020,163.2
Nov 2020,41.4
Dec 2020,121.8
Jan 2021,70.2
Feb 2021,29
Mar 2021,67.8
Apr 2021,39.4
May 2021,112.8
Jun 2021,20.8
Jul 2021,83.6
Aug 2021,32.2
Sep 2021,71.2
Oct 2021,97
Nov 2021,51.8
Dec 2021,48.8
Jan 2022,48.8
Feb 2022,130.2
Mar 2022,28.4
Apr 2022,52.6
May 2022,32.2
Jun 2022,17.8
Jul 2022,58
Aug 2022,33.4
Sep 2022,81.2
Oct 2022,69.4
Nov 2022,33.2
Dec 2022,43.2
Jan 2023,76.2
Feb 2023,41.6
Mar 2023,71
Apr 2023,34.4
May 2023,20
Jun 2023,38.2
Jul 2023,84.6
Aug 2023,90.2
Sep 2023,81.6
Oct 2023,106.8
Nov 2023,67.6
Dec 2023,91.6
Jan 2024,73.4
Feb 2024,92.4
Mar 2024,54.6
Apr 2024,87
May 2024,106
Jun 2024,76.4
Jul 2024,65
Aug 2024,40.8
Sep 2024,88.2
Oct 2024,63.8
Nov 2024,38.2
Dec 2024,180.8
Jan 2025,39.2
Feb 2025,35.4
Mar 2025,43.2
Apr 2025,35.2
May 2025,55.8
Jun 2025,46
Jul 2025,68.8
Aug 2025,35.6
