Timestamp,Value
Sep 2015,34.4
Oct 2015,56.6
Nov 2015,117.6
Dec 2015,376
Jan 2016,229.4
Feb 2016,65.2
Mar 2016,53.2
Apr 2016,53.4
May 2016,37.2
Jun 2016,81.4
Jul 2016,65.8
Aug 2016,52
Sep 2016,71.2
Oct 2016,52.6
Nov 2016,77
Dec 2016,83.2
Jan 2017,50.2
Feb 2017,75.2
Mar 2017,61.2
Apr 2017,31.6
May 2017,43.6
Jun 2017,63
Jul 2017,40
Aug 2017,55.4
Sep 2017,87.4
Oct 2017,71.6
Nov 2017,81.4
Dec 2017,52.4
Jan 2018,81.8
Feb 2018,32.8
Mar 2018,39.4
Apr 2018,53.6
May 2018,37.4
Jun 2018,55.2
Jul 2018,49.4
Aug 2018,53.2
Sep 2018,94.2
Oct 2018,81
Nov 2018,180.6
Dec 2018,76.2
Jan 2019,41.4
Feb 2019,41.8
Mar 2019,119.2
Apr 2019,46.4
May 2019,116.6
Jun 2019,63.6
Jul 2019,72.2
Aug 2019,111.2
Sep 2019,318.4
Oct 2019,60.2
Nov 2019,89.4
Dec 2019,101.6
Jan 2020,103.6
Feb 2020,196.6
Mar 2020,35.4
Apr 2020,15.4
May 2020,38.4
Jun 2020,88.6
Jul 2020,87.8
Aug 2020,66.6
Sep 2020,39.2
Oct 2020,155.4
Nov 2020,73.6
Dec 2020,125.8
Jan 2021,15.4
Feb 2021,93.4
Mar 2021,79.8
Apr 2021,16
May 2021,134.6
Jun 2021,14.6
Jul 2021,88.8
Aug 2021,69.2
Sep 2021,69.6
Oct 2021,116.6
Nov 2021,76.4
Dec 2021,71
Jan 2022,43.6
Feb 2022,126.6
Mar 2022,76.8
Apr 2022,59
May 2022,63.4
Jun 2022,61.6
Jul 2022,50
Aug 2022,55.4
Sep 2022,146.8
Oct 2022,105.8
Nov 2022,149.2
Dec 2022,60.2
Jan 2023,95.2
Feb 2023,46.6
Mar 2023,69.6
Apr 2023,60
May 2023,33
Jun 2023,33.8
Jul 2023,104.2
Aug 2023,60.4
Sep 2023,118.8
Oct 2023,214.2
Nov 2023,56.2
Dec 2023,145.8
Jan 2024,107.8
Feb 2024,82.4
Mar 2024,89.2
Apr 2024,84
May 2024,41.2
Jun 2024,42.8
Jul 2024,93.4
Aug 2024,69.4
Sep 2024,53
Oct 2024,66.8
Nov 2024,31
Dec 2024,150.6
Jan 2025,14.8
Feb 2025,91.6
Mar 2025,30.4
Apr 2025,18.6
May 2025,50.2
Jun 2025,51.8
Jul 2025,60.8
Aug 2025,33
