Timestamp,Value
Sep 2015,29
Oct 2015,69.2
Nov 2015,107.8
Dec 2015,103.4
Jan 2016,129.4
Feb 2016,140.6
Mar 2016,35.4
Apr 2016,104.6
May 2016,59.2
Jun 2016,59.8
Jul 2016,96.2
Aug 2016,63.2
Sep 2016,75.8
Oct 2016,63.4
Nov 2016,67.4
Dec 2016,103.8
Jan 2017,74.4
Feb 2017,83.2
Mar 2017,99.4
Apr 2017,51.2
May 2017,32.2
Jun 2017,91.4
Jul 2017,67.4
Aug 2017,102.2
Sep 2017,110.8
Oct 2017,113.8
Nov 2017,210.8
Dec 2017,103.2
Jan 2018,109.4
Feb 2018,32.4
Mar 2018,113.4
Apr 2018,55.4
May 2018,34.4
Jun 2018,29.2
Jul 2018,44.6
Aug 2018,44.2
Sep 2018,128.8
Oct 2018,86.2
Nov 2018,82
Dec 2018,56.4
Jan 2019,82.2
Feb 2019,47.8
Mar 2019,98.4
Apr 2019,65.8
May 2019,74.2
Jun 2019,54.4
Jul 2019,90.6
Aug 2019,104.6
Sep 2019,75.2
Oct 2019,62.6
Nov 2019,232.8
Dec 2019,99
Jan 2020,80
Feb 2020,168
Mar 2020,49.6
Apr 2020,22
May 2020,46.8
Jun 2020,86.2
Jul 2020,65.8
Aug 2020,33.8
Sep 2020,41.6
Oct 2020,175.4
Nov 2020,65
Dec 2020,113.6


Mar 2021,29
Apr 2021,59.8
May 2021,88.4
Jun 2021,19.2
Jul 2021,25.6
Aug 2021,59.2
Sep 2021,79
Oct 2021,133.2
Nov 2021,95.2
Dec 2021,55.8
Jan 2022,72.6
Feb 2022,138
Mar 2022,27.2
Apr 2022,75.6
May 2022,65
Jun 2022,19.6
Jul 2022,55.8
Aug 2022,43.8
Sep 2022,85.8
Oct 2022,82.4
Nov 2022,119.6
Dec 2022,122.4
Jan 2023,130.6
Feb 2023,52.6
Mar 2023,93.4
Apr 2023,43.6
May 2023,25.2
Jun 2023,49
Jul 2023,111.8
Aug 2023,65.8
Sep 2023,109.6
Oct 2023,217.4
Nov 2023,99.4
Dec 2023,185.6
Jan 2024,112
Feb 2024,94.4
Mar 2024,70.6
Apr 2024,94
May 2024,34.6
Jun 2024,47
Jul 2024,56
Aug 2024,63.4
Sep 2024,82.4
Oct 2024,82.2
Nov 2024,69.6
Dec 2024,109.8
Jan 2025,175.4
Feb 2025,25.6
Mar 2025,51.6
Apr 2025,15.8
May 2025,41.4
Jun 2025,77.4
Jul 2025,61.8
Aug 2025,49.8
