Timestamp,Value
Sep 2015,32
Oct 2015,34.6
Nov 2015,149.8
Dec 2015,161.2
Jan 2016,124.6
Feb 2016,64
Mar 2016,18.8
Apr 2016,85
May 2016,22.6
Jun 2016,73.4
Jul 2016,62.2
Aug 2016,41
Sep 2016,50.6
Oct 2016,45.8
Nov 2016,51.8
Dec 2016,63.8
Jan 2017,21.2
Feb 2017,82.4
Mar 2017,59.4
Apr 2017,4.2
May 2017,34
Jun 2017,126.6
Jul 2017,62.4
Aug 2017,85.8
Sep 2017,71.8
Oct 2017,54.2
Nov 2017,39.8
Dec 2017,49.6
Jan 2018,85.8
Feb 2018,26.8
Mar 2018,91.8
Apr 2018,66.6
May 2018,26.8
Jun 2018,42.4
Jul 2018,38
Aug 2018,70.6
Sep 2018,49
Oct 2018,40.4
Nov 2018,76.4
Dec 2018,36
Jan 2019,8.4
Feb 2019,21.8
Mar 2019,87.8
Apr 2019,45.8
May 2019,75.6
Jun 2019,112.8
Jul 2019,114
Aug 2019,128.2
Sep 2019,79.6
Oct 2019,78.8
Nov 2019,103.6
Dec 2019,61.4
Jan 2020,65.2
Feb 2020,173
Mar 2020,40.2
Apr 2020,5.2
May 2020,15.8
Jun 2020,72.6
Jul 2020,100
Aug 2020,137.4
Sep 2020,61.6
Oct 2020,129.2
Nov 2020,66
Dec 2020,125.2
Jan 2021,97.4
Feb 2021,69.2
Mar 2021,30
Apr 2021,6.8
May 2021,109.8
Jun 2021,27.4
Jul 2021,79.4
Aug 2021,74.2
Sep 2021,81.4
Oct 2021,145.4
Nov 2021,34.4
Dec 2021,67.8
Jan 2022,31
Feb 2022,107.8
Mar 2022,25.6
Apr 2022,38
May 2022,36.6
Jun 2022,39.4
Jul 2022,26.4
Aug 2022,85.8
Sep 2022,64.4
Oct 2022,94.8
Nov 2022,115.6
Dec 2022,114.6
Jan 2023,64.4
Feb 2023,28.6
Mar 2023,107.6
Apr 2023,29.4
May 2023,26.4
Jun 2023,60.8
Jul 2023,86.8
Aug 2023,34.8
Sep 2023,71
Oct 2023,158.8
Nov 2023,60.2
Dec 2023,118.4
Jan 2024,73
Feb 2024,55.4
Mar 2024,75
Apr 2024,109.6
May 2024,113.2
Jun 2024,39.2
Jul 2024,42.6
Aug 2024,48.4
Sep 2024,27.4
Oct 2024,66.8
Nov 2024,23.2
Dec 2024,76.8
Jan 2025,35
Feb 2025,39.6
Mar 2025,22.6
Apr 2025,23
May 2025,52.6
Jun 2025,72.2
Jul 2025,57
Aug 2025,20
