Timestamp,Value
Sep 2015,45.8
Oct 2015,149.8
Nov 2015,354.4
Dec 2015,400
Jan 2016,270.6
Feb 2016,261.6
Mar 2016,138.6
Apr 2016,156.8
May 2016,87.6
Jun 2016,77.8
Jul 2016,168.8
Aug 2016,123.8
Sep 2016,217
Oct 2016,61.6
Nov 2016,165.8
Dec 2016,131.4
Jan 2017,175.8
Feb 2017,247.2
Mar 2017,206.4
Apr 2017,64
May 2017,82.8
Jun 2017,211.2
Jul 2017,153.4
Aug 2017,258
Sep 2017,258.2
Oct 2017,269.8
Nov 2017,232.2
Dec 2017,174.2
Jan 2018,294
Feb 2018,159
Mar 2018,104.8
Apr 2018,127.6
May 2018,72.8
Jun 2018,93
Jul 2018,100.8
Aug 2018,176.2
Sep 2018,179.8
Oct 2018,191.2
Nov 2018,335.6
Dec 2018,213.4
Jan 2019,143.4
Feb 2019,150
Mar 2019,283.8
Apr 2019,77.2
May 2019,124
Jun 2019,107.8
Jul 2019,156.4
Aug 2019,256.2
Sep 2019,244.2
Oct 2019,157.2
Nov 2019,121.4
Dec 2019,229.2
Jan 2020,198.2
Feb 2020,326.2
Mar 2020,128
Apr 2020,37
May 2020,64.8
Jun 2020,232.2
Jul 2020,235.2
Aug 2020,170.6
Sep 2020,195.6
Oct 2020,304.8
Nov 2020,268.6
Dec 2020,222.8
Jan 2021,162.6
Feb 2021,283.2
Mar 2021,153.8
Apr 2021,19
May 2021,163.4
Jun 2021,37.4
Jul 2021,59.8
Aug 2021,150
Sep 2021,166.2
Oct 2021,346.4
Nov 2021,239.4
Dec 2021,173.4
Jan 2022,131.6
Feb 2022,333.4
Mar 2022,109.6
Apr 2022,131.6
May 2022,141
Jun 2022,154.4
Jul 2022,102.4
Aug 2022,91
Sep 2022,193.6
Oct 2022,274
Nov 2022,288.8
Dec 2022,173.8
Jan 2023,255.2
Feb 2023,97.8
Mar 2023,238.2
Apr 2023,115
May 2023,46.6
Jun 2023,113.8
Jul 2023,254
Aug 2023,126.8
Sep 2023,233.2
Oct 2023,127
Nov 2023,188.4
Dec 2023,398
Jan 2024,165.4
Feb 2024,193.6
Mar 2024,189.6
Apr 2024,212.4
May 2024,138
Jun 2024,119.8
Jul 2024,106.8
Aug 2024,375.2
Sep 2024,75.8
Oct 2024,172.2
Nov 2024,133.8
Dec 2024,284.6
Jan 2025,103.6
Feb 2025,188.8
Mar 2025,94.2
Apr 2025,62.4
May 2025,134
Jun 2025,177.4
Jul 2025,146.2
Aug 2025,134.4
