Timestamp,Value
Sep 2015,27.8
Oct 2015,50.4
Nov 2015,8.2
Dec 2015,97.4
Jan 2016,148.2
Feb 2016,50.4
Mar 2016,38.2
Apr 2016,80
May 2016,24.6
Jun 2016,57.4
Jul 2016,83.8
Aug 2016,65.8
Sep 2016,50.6
Oct 2016,65.4
Nov 2016,132
Dec 2016,39
Jan 2017,26.6
Feb 2017,76.4
Mar 2017,73.6
Apr 2017,12.2
May 2017,36.6
Jun 2017,141
Jul 2017,74
Aug 2017,56.6
Sep 2017,68
Oct 2017,45.2
Nov 2017,55.2
Dec 2017,38
Jan 2018,62.8
Feb 2018,41.8
Mar 2018,107.8
Apr 2018,68.6
May 2018,17.8
Jun 2018,34.2
Jul 2018,60.2
Aug 2018,70
Sep 2018,61.2
Oct 2018,59.2
Nov 2018,65.6
Dec 2018,40
Jan 2019,11.2
Feb 2019,30.8
Mar 2019,93.4
Apr 2019,49.4
May 2019,53.4
Jun 2019,98
Jul 2019,98.4
Aug 2019,127.2
Sep 2019,86.2
Oct 2019,84
Nov 2019,146.6
Dec 2019,44.8
Jan 2020,30.8
Feb 2020,119.2
Mar 2020,48.6
Apr 2020,4.6
May 2020,80.2
Jun 2020,89.8
Jul 2020,79.4
Aug 2020,129.8
Sep 2020,25.4
Oct 2020,121.8
Nov 2020,45.6
Dec 2020,103.6
Jan 2021,100.8
Feb 2021,104.2
Mar 2021,31.8
Apr 2021,15.2
May 2021,106.8
Jun 2021,27.4
Jul 2021,194.8
Aug 2021,42
Sep 2021,46.2
Oct 2021,116.8
Nov 2021,72.6
Dec 2021,82
Jan 2022,13.4
Feb 2022,72.8
Mar 2022,35.8
Apr 2022,36.2
May 2022,46
Jun 2022,33
Jul 2022,43.8
Aug 2022,20.4
Sep 2022,95
Oct 2022,80.8
Nov 2022,109.6
Dec 2022,75
Jan 2023,31
Feb 2023,23
Mar 2023,61.8
Apr 2023,23.2
May 2023,27.2
Jun 2023,32.8
Jul 2023,115.2
Aug 2023,73.6
Sep 2023,42.8
Oct 2023,176
Nov 2023,78.4
Dec 2023,110
Jan 2024,61.4
Feb 2024,49.2
Mar 2024,62
Apr 2024,83.8
May 2024,77.2
Jun 2024,26.8
Jul 2024,72.8
Aug 2024,61.8
Sep 2024,40.2
Oct 2024,97.8
Nov 2024,26.2
Dec 2024,72.8
Jan 2025,44.2
Feb 2025,26.4
Mar 2025,16.8
Apr 2025,12.4
May 2025,40.2
Jun 2025,66.4
Jul 2025,88.6
Aug 2025,18
