Timestamp,Value
Sep 2015,77.4
Oct 2015,82
Nov 2015,195
Dec 2015,233.6
Jan 2016,190.6
Feb 2016,188.2
Mar 2016,121.8
Apr 2016,107.4
May 2016,72.2
Jun 2016,47.2
Jul 2016,161.4
Aug 2016,154.4
Sep 2016,162.2
Oct 2016,64
Nov 2016,168.6
Dec 2016,168.4
Jan 2017,130
Feb 2017,109
Mar 2017,127.8
Apr 2017,142.8
May 2017,77.8
Jun 2017,155
Jul 2017,116.4
Aug 2017,162.2
Sep 2017,129.8
Oct 2017,144.6
Nov 2017,207.6
Dec 2017,114.8
Jan 2018,172
Feb 2018,75
Mar 2018,68.4
Apr 2018,71
May 2018,3.8
Jun 2018,40.4
Jul 2018,74.2
Aug 2018,83.4
Sep 2018,224
Oct 2018,234.6
Nov 2018,28.2
Dec 2018,87.8
Jan 2019,203.2
Feb 2019,122.6
Mar 2019,184.4
Apr 2019,59.6
May 2019,123.8
Jun 2019,89
Jul 2019,157.4
Aug 2019,202.4
Sep 2019,142.4
Oct 2019,128.8
Nov 2019,40.2
Dec 2019,195
Jan 2020,221.8
Feb 2020,241
Mar 2020,125.8
Apr 2020,39
May 2020,116.6
Jun 2020,128.4
Jul 2020,126.6
Aug 2020,29.2
Sep 2020,154.8
Oct 2020,234.6
Nov 2020,152.2
Dec 2020,185.6

Feb 2021,64.4
Mar 2021,218.4
Apr 2021,65.2
May 2021,50.6
Jun 2021,46.8
Jul 2021,71
Aug 2021,70.4
Sep 2021,135.6
Oct 2021,286.2
Nov 2021,535.8
Dec 2021,274.8
Jan 2022,184.8
Feb 2022,187
Mar 2022,42
Apr 2022,106
May 2022,163.8
Jun 2022,66.4
Jul 2022,91.6
Aug 2022,23.8
Sep 2022,143.4
Oct 2022,143.8
Nov 2022,167.4
Dec 2022,207
Jan 2023,182
Feb 2023,154.6
Mar 2023,109.6
Apr 2023,69.2
May 2023,54.8
Jun 2023,66.8
Jul 2023,174.4
Aug 2023,153.6
Sep 2023,209.6
Oct 2023,173.4
Nov 2023,112.2
Dec 2023,166.4
Jan 2024,198
Feb 2024,179.2
Mar 2024,80
Apr 2024,99.4
May 2024,65
Jun 2024,165.8
Jul 2024,98.6
Aug 2024,189.2
Sep 2024,126
Oct 2024,125
Nov 2024,161
Dec 2024,297.8
Jan 2025,119.4
Feb 2025,89.8
Mar 2025,111.4
Apr 2025,50.2
May 2025,55.8
Jun 2025,157.4
Jul 2025,144.8
Aug 2025,83
