Timestamp,Value



































































Apr 2021,49.4
May 2021,97.6
Jun 2021,21
Jul 2021,71.4
Aug 2021,57.2
Sep 2021,98.2
Oct 2021,229.2
Nov 2021,188.6
Dec 2021,45.4
Jan 2022,130.6
Feb 2022,204.8
Mar 2022,30.6
Apr 2022,124.8
May 2022,160.2
Jun 2022,66.2
Jul 2022,90
Aug 2022,101.6
Sep 2022,167.2
Oct 2022,203.4
Nov 2022,209
Dec 2022,0
Jan 2023,123.2
Feb 2023,149.2
Mar 2023,113
Apr 2023,67.2
May 2023,29.8
Jun 2023,64
Jul 2023,139.8
Aug 2023,93.6
Sep 2023,171.6
Oct 2023,233.4
Nov 2023,104.2
Dec 2023,192.6
Jan 2024,223
Feb 2024,132.6
Mar 2024,80.8
Apr 2024,132
May 2024,39.6
Jun 2024,150
Jul 2024,76.2
Aug 2024,145.8
Sep 2024,119.8
Oct 2024,142.8
Nov 2024,119.6
Dec 2024,354.6
Jan 2025,100.6
Feb 2025,63.2
Mar 2025,93.8
Apr 2025,30.4
May 2025,17
Jun 2025,48
Jul 2025,130
Aug 2025,89.4
