Timestamp,Value
Sep 2015,80.2
Oct 2015,106.2
Nov 2015,186.2
Dec 2015,261
Jan 2016,218.2
Feb 2016,166
Mar 2016,151
Apr 2016,70
May 2016,55.6
Jun 2016,83.8
Jul 2016,147.4
Aug 2016,141.4
Sep 2016,199
Oct 2016,75.2
Nov 2016,137.4
Dec 2016,180.8
Jan 2017,91
Feb 2017,125.4
Mar 2017,114.4
Apr 2017,61.8
May 2017,51.4
Jun 2017,62.8
Jul 2017,90.2
Aug 2017,228.2
Sep 2017,148.2
Oct 2017,221.6
Nov 2017,167
Dec 2017,149.6
Jan 2018,216.4
Feb 2018,142.8
Mar 2018,68.4
Apr 2018,101.2
May 2018,70.6
Jun 2018,54.8
Jul 2018,106.2
Aug 2018,140
Sep 2018,162.8
Oct 2018,173
Nov 2018,169
Dec 2018,205.6
Jan 2019,126
Feb 2019,145.6
Mar 2019,172.6
Apr 2019,35.4
May 2019,53.2
Jun 2019,74.4
Jul 2019,141
Aug 2019,243.4
Sep 2019,112.2
Oct 2019,177.8
Nov 2019,72.6
Dec 2019,241.6
Jan 2020,224
Feb 2020,238.2
Mar 2020,204.4
Apr 2020,35.6
May 2020,84
Jun 2020,99.4
Jul 2020,107.4
Aug 2020,75.4
Sep 2020,163.2
Oct 2020,253
Nov 2020,173.8
Dec 2020,220.6
Jan 2021,161.6
Feb 2021,134.4
Mar 2021,6.6
Apr 2021,36
May 2021,100.6
Jun 2021,56.2
Jul 2021,39.6
Aug 2021,94.8
Sep 2021,107
Oct 2021,263.8
Nov 2021,145.6
Dec 2021,172.2
Jan 2022,104.2
Feb 2022,186.8
Mar 2022,85.8
Apr 2022,95.4
May 2022,156.8
Jun 2022,99.8
Jul 2022,57.8
Aug 2022,82.8
Sep 2022,152.4
Oct 2022,294.4
Nov 2022,261.4
Dec 2022,152.2
Jan 2023,184.6
Feb 2023,96.8
Mar 2023,143.8
Apr 2023,101.8
May 2023,40.2
Jun 2023,69.2
Jul 2023,103.6
Aug 2023,92.8
Sep 2023,247.8
Oct 2023,107.8
Nov 2023,192
Dec 2023,219.4
Jan 2024,160.4
Feb 2024,178.4
Mar 2024,83.8
Apr 2024,98.6
May 2024,48.4
Jun 2024,66.4
Jul 2024,76.6
Aug 2024,216.4
Sep 2024,60.6
Oct 2024,201.4
Nov 2024,155.8
Dec 2024,235.8
Jan 2025,134
Feb 2025,137.6
Mar 2025,99.4
Apr 2025,81.8
May 2025,53
Jun 2025,104.4
Jul 2025,72.8
Aug 2025,143.2
