Timestamp,Value
Sep 2015,29.2
Oct 2015,24.6
Nov 2015,292.8
Dec 2015,240.8
Jan 2016,179
Feb 2016,189.4
Mar 2016,28.6
Apr 2016,32.2
May 2016,38.2
Jun 2016,63.8
Jul 2016,124
Aug 2016,98
Sep 2016,100.2
Oct 2016,56
Nov 2016,105.2
Dec 2016,99.4
Jan 2017,89.8
Feb 2017,149.4
Mar 2017,136
Apr 2017,32.4
May 2017,57.4
Jun 2017,148.4
Jul 2017,107.4
Aug 2017,137.2
Sep 2017,106.6
Oct 2017,202
Nov 2017,152.2
Dec 2017,131.6
Jan 2018,181.2
Feb 2018,74.8
Mar 2018,73.2
Apr 2018,85.6
May 2018,21.6
Jun 2018,94.4
Jul 2018,69
Aug 2018,151.4
Sep 2018,101.2
Oct 2018,105.4
Nov 2018,149.8
Dec 2018,125
Jan 2019,96.4
Feb 2019,63.8
Mar 2019,182.4
Apr 2019,33.8
May 2019,79.8
Jun 2019,85.8
Jul 2019,73.8
Aug 2019,207.6
Sep 2019,159.4
Oct 2019,116.4
Nov 2019,50.6
Dec 2019,186.8
Jan 2020,159.6
Feb 2020,283.6
Mar 2020,104.6
Apr 2020,18.2
May 2020,55.6
Jun 2020,150.6
Jul 2020,157.8
Aug 2020,148.2
Sep 2020,102
Oct 2020,150.2
Nov 2020,137.4
Dec 2020,136.2
Jan 2021,134.8
Feb 2021,104.2
Mar 2021,80.2
Apr 2021,15
May 2021,83.8
Jun 2021,32.2
Jul 2021,21.2
Aug 2021,68.4
Sep 2021,115.4
Oct 2021,184.6
Nov 2021,111.8
Dec 2021,119.4
Jan 2022,86.8
Feb 2022,218.8
Mar 2022,59.6
Apr 2022,71.8
May 2022,72.4
Jun 2022,64.8
Jul 2022,55
Aug 2022,60
Sep 2022,119.6
Oct 2022,166.6
Nov 2022,97.2
Dec 2022,104.6
Jan 2023,160.2
Feb 2023,64.2
Mar 2023,89.2
Apr 2023,61.4
May 2023,37
Jun 2023,67.6
Jul 2023,163.8
Aug 2023,55.2
Sep 2023,138
Oct 2023,97.4
Nov 2023,119.6
Dec 2023,241.6
Jan 2024,111.4
Feb 2024,124.2
Mar 2024,98.4
Apr 2024,109.4
May 2024,110
Jun 2024,68.4
Jul 2024,84
Aug 2024,201.4
Sep 2024,71.6
Oct 2024,88.4
Nov 2024,49.8
Dec 2024,110.4
Jan 2025,57.4
Feb 2025,64.2
Mar 2025,61
Apr 2025,44.8
May 2025,44
Jun 2025,121.6
Jul 2025,124
Aug 2025,52.8
