Timestamp,Value
Sep 2015,26.2
Oct 2015,29.8
Nov 2015,123.2
Dec 2015,124
Jan 2016,125.8
Feb 2016,50.4
Mar 2016,21
Apr 2016,63.2
May 2016,20.6
Jun 2016,77.4
Jul 2016,54
Aug 2016,53.8
Sep 2016,39.6
Oct 2016,44.8
Nov 2016,55
Dec 2016,48.6
Jan 2017,25.4
Feb 2017,54.2
Mar 2017,33.6
Apr 2017,8.8
May 2017,27
Jun 2017,175.4
Jul 2017,29.4
Aug 2017,69.2
Sep 2017,61
Oct 2017,41
Nov 2017,44.6
Dec 2017,40.6
Jan 2018,50
Feb 2018,30.8
Mar 2018,71
Apr 2018,42.6
May 2018,22
Jun 2018,58
Jul 2018,31
Aug 2018,49.8
Sep 2018,48.2
Oct 2018,39
Nov 2018,54
Dec 2018,29.8
Jan 2019,11.2
Feb 2019,9.6
Mar 2019,53.8
Apr 2019,23.6
May 2019,74.4
Jun 2019,68.2
Jul 2019,83
Aug 2019,111.4
Sep 2019,61.4
Oct 2019,95.4
Nov 2019,113.4
Dec 2019,46.8
Jan 2020,3.6
Feb 2020,74.2
Mar 2020,30.2
Apr 2020,1.6
May 2020,12.6
Jun 2020,54
Jul 2020,67
Aug 2020,79.8
Sep 2020,30
Oct 2020,120.6
Nov 2020,36.2
Dec 2020,96.8
Jan 2021,106.6
Feb 2021,66.2
Mar 2021,25.2
Apr 2021,7.2
May 2021,64.8
Jun 2021,32.4
Jul 2021,49.8
Aug 2021,29.8
Sep 2021,45.2
Oct 2021,115.4
Nov 2021,36.2
Dec 2021,68.4
Jan 2022,15.6
Feb 2022,67.2
Mar 2022,31.8
Apr 2022,35.8
May 2022,39.8
Jun 2022,21.6
Jul 2022,34.6
Aug 2022,25
Sep 2022,61.2
Oct 2022,68
Nov 2022,90.4
Dec 2022,88
Jan 2023,26.2
Feb 2023,31.4
Mar 2023,71.4
Apr 2023,32.6
May 2023,25
Jun 2023,38.4
Jul 2023,58.2
Aug 2023,30.4
Sep 2023,54.8
Oct 2023,160.6
Nov 2023,66
Dec 2023,115
Jan 2024,54.4
Feb 2024,50.4
Mar 2024,79.2
Apr 2024,98.8
May 2024,100.6
Jun 2024,30
Jul 2024,55
Aug 2024,52.8
Sep 2024,35.2
Oct 2024,71
Nov 2024,22.6
Dec 2024,50.8
Jan 2025,27.2
Feb 2025,17.8
Mar 2025,8.2
Apr 2025,10.6
May 2025,31
Jun 2025,64.2
Jul 2025,61.4
Aug 2025,18.4
