Timestamp,Value
Sep 2015,25.6
Oct 2015,29
Nov 2015,127.2
Dec 2015,136.8
Jan 2016,103.8
Feb 2016,36.4
Mar 2016,36
Apr 2016,44.8
May 2016,13
Jun 2016,66
Jul 2016,75.4
Aug 2016,56.4
Sep 2016,33.8
Oct 2016,32.2
Nov 2016,73
Dec 2016,36
Jan 2017,22.6
Feb 2017,64.2
Mar 2017,69
Apr 2017,6.8
May 2017,7.8
Jun 2017,93.8
Jul 2017,72.4
Aug 2017,69.6
Sep 2017,56.8
Oct 2017,40.8
Nov 2017,55.2
Dec 2017,37.4
Jan 2018,61.4
Feb 2018,40.2
Mar 2018,40.6
Apr 2018,57
May 2018,16.2
Jun 2018,34.4
Jul 2018,41.2
Aug 2018,46.4
Sep 2018,58.6
Oct 2018,54.2
Nov 2018,51.4
Dec 2018,34.2
Jan 2019,8
Feb 2019,19.6
Mar 2019,82.6
Apr 2019,38.8
May 2019,47
Jun 2019,90.6
Jul 2019,56.6
Aug 2019,105.2
Sep 2019,80.6
Oct 2019,66.4
Nov 2019,87.8
Dec 2019,14.4
Jan 2020,0
Feb 2020,0
Mar 2020,0
Apr 2020,0
May 2020,0
Jun 2020,49.6
Jul 2020,60.6
Aug 2020,52.6
Sep 2020,19.2
Oct 2020,81.2
Nov 2020,29
Dec 2020,85.2
Jan 2021,89.4
Feb 2021,42.6
Mar 2021,16.8
Apr 2021,16.2
May 2021,58
Jun 2021,15.6
Jul 2021,45
Aug 2021,35.8
Sep 2021,34
Oct 2021,81
Nov 2021,40
Dec 2021,53.6
Jan 2022,13.8
Feb 2022,59.2
Mar 2022,31.4
Apr 2022,21.4
May 2022,54.6
Jun 2022,36.8
Jul 2022,29.6
Aug 2022,23
Sep 2022,71.2
Oct 2022,74.4
Nov 2022,44.2
Dec 2022,40.8
Jan 2023,66.2
Feb 2023,14.4
Mar 2023,38.4
Apr 2023,17.4
May 2023,27.8
Jun 2023,12.2
Jul 2023,58
Aug 2023,63.8
Sep 2023,43.4
Oct 2023,96.2
Nov 2023,50
Dec 2023,72.8
Jan 2024,62.6
Feb 2024,26.2
Mar 2024,38.4
Apr 2024,62
May 2024,86.6
Jun 2024,24.8
Jul 2024,75.4
Aug 2024,69.4
Sep 2024,30
Oct 2024,69
Nov 2024,13.4
Dec 2024,27
Jan 2025,30.2
Feb 2025,16
Mar 2025,7.6
Apr 2025,6
May 2025,42.2
Jun 2025,64.6
Jul 2025,63
Aug 2025,0.6
