Timestamp,Value
Sep 2015,36.4
Oct 2015,71.4
Nov 2015,337.6
Dec 2015,346.8
Jan 2016,243
Feb 2016,250.4
Mar 2016,88
Apr 2016,109
May 2016,87.4
Jun 2016,16.4
Jul 2016,145.4
Aug 2016,113.8
Sep 2016,163.4
Oct 2016,47.4
Nov 2016,114.8
Dec 2016,138.6
Jan 2017,74.8
Feb 2017,168.2
Mar 2017,141.6
Apr 2017,28.8
May 2017,84.6
Jun 2017,177
Jul 2017,100.8
Aug 2017,137.8
Sep 2017,147.2
Oct 2017,174.2
Nov 2017,123.2
Dec 2017,163.6
Jan 2018,256.2
Feb 2018,83.2
Mar 2018,88.6
Apr 2018,111.2
May 2018,40.6
Jun 2018,81.4
Jul 2018,80.8
Aug 2018,121.8
Sep 2018,143.8
Oct 2018,162
Nov 2018,206.8
Dec 2018,111.8
Jan 2019,73.6
Feb 2019,104.2
Mar 2019,207.4
Apr 2019,35.4
May 2019,76
Jun 2019,77
Jul 2019,114.6
Aug 2019,259.6
Sep 2019,137
Oct 2019,156.4
Nov 2019,56
Dec 2019,239.8
Jan 2020,204
Feb 2020,343.4
Mar 2020,131.4
Apr 2020,20.6
May 2020,69.6
Jun 2020,150.4
Jul 2020,155.6
Aug 2020,168.8
Sep 2020,114.4
Oct 2020,181.4
Nov 2020,199.4
Dec 2020,154.4
Jan 2021,128.8
Feb 2021,111.8
Mar 2021,137.6
Apr 2021,16.2
May 2021,81.4
Jun 2021,32
Jul 2021,29.8
Aug 2021,63
Sep 2021,101
Oct 2021,238
Nov 2021,108
Dec 2021,125.6
Jan 2022,118.6
Feb 2022,304.8
Mar 2022,46
Apr 2022,61.4
May 2022,109.4
Jun 2022,74.2
Jul 2022,58
Aug 2022,78
Sep 2022,109.2
Oct 2022,226.2
Nov 2022,138.4
Dec 2022,159
Jan 2023,209.6
Feb 2023,95.2
Mar 2023,141.2
Apr 2023,44
May 2023,34.8
Jun 2023,59.2
Jul 2023,160.4
Aug 2023,70.6
Sep 2023,156.4
Oct 2023,135
Nov 2023,116
Dec 2023,220.8
Jan 2024,163
Feb 2024,157
Mar 2024,143
Apr 2024,168.2
May 2024,96.6
Jun 2024,50.2
Jul 2024,51.8
Aug 2024,264.4
Sep 2024,75.6
Oct 2024,117
Nov 2024,62.4
Dec 2024,181.8
Jan 2025,67.8
Feb 2025,95
Mar 2025,73.2
Apr 2025,38.2
May 2025,94.4
Jun 2025,91.2
Jul 2025,89.8
Aug 2025,54.2
