Timestamp,Value
Sep 2015,21.8
Oct 2015,48.8
Nov 2015,218.2
Dec 2015,145.6
Jan 2016,100.4
Feb 2016,91
Mar 2016,19.2
Apr 2016,54
May 2016,28.2
Jun 2016,44.6
Jul 2016,82.6
Aug 2016,40
Sep 2016,58.8
Oct 2016,43.8
Nov 2016,44.2
Dec 2016,62
Jan 2017,27.4
Feb 2017,101
Mar 2017,71.6
Apr 2017,6
May 2017,39.6
Jun 2017,116.4
Jul 2017,87
Aug 2017,91
Sep 2017,65
Oct 2017,78.4
Nov 2017,49.4
Dec 2017,75.2
Jan 2018,108.6
Feb 2018,41.6
Mar 2018,95.6
Apr 2018,90.2
May 2018,20.6
Jun 2018,56.8
Jul 2018,47.8
Aug 2018,51.4
Sep 2018,74.4
Oct 2018,56.6
Nov 2018,125.8
Dec 2018,59
Jan 2019,13.2
Feb 2019,47.2
Mar 2019,111.6
Apr 2019,44
May 2019,79.6
Jun 2019,85
Jul 2019,108.2
Aug 2019,147.2
Sep 2019,83
Oct 2019,99.2
Nov 2019,75.6
Dec 2019,112.8
Jan 2020,141
Feb 2020,221
Mar 2020,77.8
Apr 2020,12.8
May 2020,23.8
Jun 2020,87.6
Jul 2020,119
Aug 2020,214.6
Sep 2020,69.6
Oct 2020,123.2
Nov 2020,79.2
Dec 2020,112.2
Jan 2021,103.8
Feb 2021,97.4
Mar 2021,66.4
Apr 2021,8.2
May 2021,100.2
Jun 2021,25.4
Jul 2021,33.8
Aug 2021,60.2
Sep 2021,80.6
Oct 2021,148.4
Nov 2021,41.6
Dec 2021,76.6
Jan 2022,43.2
Feb 2022,163
Mar 2022,25.4
Apr 2022,22.4
May 2022,38.4
Jun 2022,30
Jul 2022,24.6
Aug 2022,81.8
Sep 2022,116.4
Oct 2022,125.2
Nov 2022,108
Dec 2022,108.6
Jan 2023,81.4
Feb 2023,42.6
Mar 2023,107.2
Apr 2023,34.4
May 2023,15.4
Jun 2023,51.2
Jul 2023,140.8
Aug 2023,77.4
Sep 2023,130.8
Oct 2023,166.4
Nov 2023,58.6
Dec 2023,127.4
Jan 2024,106.2
Feb 2024,70.4
Mar 2024,100.4
Apr 2024,128.2
May 2024,89
Jun 2024,38.4
Jul 2024,48.8
Aug 2024,101.8
Sep 2024,53.4
Oct 2024,52.4
Nov 2024,33.2
Dec 2024,92.4
Jan 2025,37
Feb 2025,57
Mar 2025,50
Apr 2025,25.2
May 2025,55
Jun 2025,69.2
Jul 2025,56.8
Aug 2025,33
