Timestamp,Value
Sep 2015,64.6
Oct 2015,244.4
Nov 2015,545.8
Dec 2015,413.4
Jan 2016,340.2
Feb 2016,233
Mar 2016,128.4
Apr 2016,139.6
May 2016,115.2
Jun 2016,94.6
Jul 2016,172.4
Aug 2016,169.4
Sep 2016,231.8
Oct 2016,82.4
Nov 2016,128.4
Dec 2016,214.4
Jan 2017,165
Feb 2017,336.6
Mar 2017,284.8
Apr 2017,114.4
May 2017,113.4
Jun 2017,277.6
Jul 2017,227.6
Aug 2017,331
Sep 2017,318.4
Oct 2017,504.4
Nov 2017,235
Dec 2017,296.6
Jan 2018,391.4
Feb 2018,178
Mar 2018,194.2
Apr 2018,197.8
May 2018,87.6
Jun 2018,152
Jul 2018,143.8
Aug 2018,227
Sep 2018,375
Oct 2018,435.8
Nov 2018,410.8
Dec 2018,311.6
Jan 2019,195.2
Feb 2019,198.4
Mar 2019,340
Apr 2019,83.6
May 2019,144.2
Jun 2019,218.8
Jul 2019,225.6
Aug 2019,401.6
Sep 2019,315
Oct 2019,270.4
Nov 2019,144.2
Dec 2019,421.4
Jan 2020,449.4
Feb 2020,488.2
Mar 2020,256.4
Apr 2020,63.8
May 2020,149.2
Jun 2020,222.8
Jul 2020,273.6
Aug 2020,236.8
Sep 2020,309.2
Oct 2020,435.8
Nov 2020,435
Dec 2020,353
Jan 2021,205
Feb 2021,329
Mar 2021,318.2
Apr 2021,42.6
May 2021,156.6
Jun 2021,87.2
Jul 2021,39.2
Aug 2021,157.4
Sep 2021,190.8
Oct 2021,400.8
Nov 2021,254.8
Dec 2021,237.2
Jan 2022,242
Feb 2022,447.8
Mar 2022,147.6
Apr 2022,142.8
May 2022,270
Jun 2022,243.6
Jul 2022,213.6
Aug 2022,143.4
Sep 2022,209.8
Oct 2022,495.6
Nov 2022,401.4
Dec 2022,211.8
Jan 2023,372.6
Feb 2023,212.4
Mar 2023,244.8
Apr 2023,147.8
May 2023,65
Jun 2023,128.4
Jul 2023,321.2
Aug 2023,214.2
Sep 2023,334.4
Oct 2023,366.6
Nov 2023,222.8
Dec 2023,516.2
Jan 2024,322.8
Feb 2024,363.6
Mar 2024,208.2
Apr 2024,271
May 2024,144
Jun 2024,177
Jul 2024,142.4
Aug 2024,522
Sep 2024,119.6
Oct 2024,257.2
Nov 2024,176.6
Dec 2024,523
Jan 2025,187.2
Feb 2025,267.4
Mar 2025,194.4
Apr 2025,115
May 2025,181.8
Jun 2025,232.2
Jul 2025,182.4
Aug 2025,200.8
