Timestamp,Value
Sep 2015,28.4
Oct 2015,47
Nov 2015,213.4
Dec 2015,153.4
Jan 2016,62.2
Feb 2016,99.2
Mar 2016,25.6
Apr 2016,58.4
May 2016,50.2
Jun 2016,63
Jul 2016,99.6
Aug 2016,52.6
Sep 2016,50
Oct 2016,40.6
Nov 2016,56.2
Dec 2016,58
Jan 2017,28.4
Feb 2017,88
Mar 2017,80
Apr 2017,1.4
May 2017,6
Jun 2017,114.8
Jul 2017,72.8
Aug 2017,127
Sep 2017,87.8
Oct 2017,54.8
Nov 2017,44.8
Dec 2017,71.2
Jan 2018,112.4
Feb 2018,37.8
Mar 2018,118.2
Apr 2018,62.2
May 2018,23.4
Jun 2018,43.6
Jul 2018,34.4
Aug 2018,65.2
Sep 2018,76.4
Oct 2018,47.8
Nov 2018,102.8
Dec 2018,67.6
Jan 2019,15.8
Feb 2019,38
Mar 2019,82
Apr 2019,43
May 2019,72
Jun 2019,69
Jul 2019,90.4
Aug 2019,150.6
Sep 2019,91.8
Oct 2019,74.4
Nov 2019,80.4
Dec 2019,93.4
Jan 2020,101.6
Feb 2020,180.4
Mar 2020,58.4
Apr 2020,16.8
May 2020,33
Jun 2020,87.6
Jul 2020,113.4
Aug 2020,150
Sep 2020,71.2
Oct 2020,125.4
Nov 2020,64.4
Dec 2020,120.8
Jan 2021,98.2
Feb 2021,132.8
Mar 2021,52
Apr 2021,10
May 2021,101.4
Jun 2021,28.2
Jul 2021,50
Aug 2021,64
Sep 2021,82.8
Oct 2021,146.6
Nov 2021,48.2
Dec 2021,75.2
Jan 2022,35.8
Feb 2022,150.4
Mar 2022,30.6
Apr 2022,27.6
May 2022,40.2
Jun 2022,34.8
Jul 2022,43.2
Aug 2022,90.6
Sep 2022,107.6
Oct 2022,125.6
Nov 2022,120.6
Dec 2022,122.4
Jan 2023,99.8
Feb 2023,38.4
Mar 2023,119.2
Apr 2023,45.4
May 2023,17
Jun 2023,63.8
Jul 2023,101.8
Aug 2023,49
Sep 2023,91.8
Oct 2023,191.6
Nov 2023,57.8
Dec 2023,172.6
Jan 2024,110.6
Feb 2024,79
Mar 2024,97.6
Apr 2024,130.2
May 2024,81.8
Jun 2024,57.2
Jul 2024,51.6
Aug 2024,125.4
Sep 2024,45
Oct 2024,72.6
Nov 2024,32.8
Dec 2024,92.6
Jan 2025,47.2
Feb 2025,58.8
Mar 2025,46.2
Apr 2025,30.6
May 2025,0.8
Jun 2025,89
Jul 2025,60.6
Aug 2025,62.4
