Timestamp,Value
Sep 2015,28.2
Oct 2015,49.2
Nov 2015,244
Dec 2015,236.2
Jan 2016,198
Feb 2016,194.2
Mar 2016,65.6
Apr 2016,101
May 2016,83.6
Jun 2016,64.4
Jul 2016,142.8
Aug 2016,102
Sep 2016,123.4
Oct 2016,36
Nov 2016,110.2
Dec 2016,93.2
Jan 2017,80.8
Feb 2017,128.4
Mar 2017,123
Apr 2017,27.8
May 2017,99.4
Jun 2017,184.4
Jul 2017,114.2
Aug 2017,172.2
Sep 2017,132.6
Oct 2017,213.6
Nov 2017,124.2
Dec 2017,133.8
Jan 2018,146.4
Feb 2018,78.8
Mar 2018,84.2
Apr 2018,105.6
May 2018,29.8
Jun 2018,86
Jul 2018,90.8
Aug 2018,124.4
Sep 2018,110.4
Oct 2018,120.8
Nov 2018,168
Dec 2018,103.8
Jan 2019,79.8
Feb 2019,109
Mar 2019,207.4
Apr 2019,30.6
May 2019,80
Jun 2019,87
Jul 2019,98.8
Aug 2019,248.4
Sep 2019,161.2
Oct 2019,147.2
Nov 2019,58
Dec 2019,226.8
Jan 2020,179.6
Feb 2020,342.6
Mar 2020,120
Apr 2020,18.4
May 2020,52.4
Jun 2020,180
Jul 2020,182.6
Aug 2020,154.4
Sep 2020,103.2
Oct 2020,184.6
Nov 2020,176.2
Dec 2020,144.4
Jan 2021,140
Feb 2021,90.8
Mar 2021,97.6
Apr 2021,13
May 2021,88
Jun 2021,38
Jul 2021,26.6
Aug 2021,113
Sep 2021,107.2
Oct 2021,206.4
Nov 2021,110.4
Dec 2021,138.8
Jan 2022,103.6
Feb 2022,249.6
Mar 2022,53
Apr 2022,77.6
May 2022,109.2
Jun 2022,84.2
Jul 2022,67.6
Aug 2022,85.6
Sep 2022,144
Oct 2022,197
Nov 2022,111.4
Dec 2022,143.8
Jan 2023,192.6
Feb 2023,69.8
Mar 2023,141.4
Apr 2023,55.8
May 2023,44
Jun 2023,79.2
Jul 2023,206
Aug 2023,74.8
Sep 2023,151.8
Oct 2023,134.8
Nov 2023,132.8
Dec 2023,198
Jan 2024,123.6
Feb 2024,130.8
Mar 2024,134.6
Apr 2024,145.4
May 2024,108.2
Jun 2024,70.2
Jul 2024,76.4
Aug 2024,231.2
Sep 2024,86.6
Oct 2024,106.6
Nov 2024,33
Dec 2024,138
Jan 2025,45.2
Feb 2025,69.6
Mar 2025,73.8
Apr 2025,53.2
May 2025,88.6
Jun 2025,123.2
Jul 2025,95.6
Aug 2025,69.6
