Timestamp,Value
Sep 2015,46.8
Oct 2015,60.6
Nov 2015,266.6
Dec 2015,367.6
Jan 2016,246
Feb 2016,235
Mar 2016,102
Apr 2016,93.2
May 2016,84
Jun 2016,103
Jul 2016,105.2
Aug 2016,93.6
Sep 2016,155.4
Oct 2016,54.4
Nov 2016,77.6
Dec 2016,205.2
Jan 2017,147.8
Feb 2017,144.8
Mar 2017,145.2
Apr 2017,117.2
May 2017,29
Jun 2017,126.2
Jul 2017,56.8
Aug 2017,108.2
Sep 2017,106.8
Oct 2017,231.6
Nov 2017,256.5
Dec 2017,209
Jan 2018,218.8
Feb 2018,121.4
Mar 2018,74.8
Apr 2018,67
May 2018,36
Jun 2018,68
Jul 2018,91.4
Aug 2018,82.6
Sep 2018,231
Oct 2018,220.6
Nov 2018,100.2
Dec 2018,142.4
Jan 2019,172.4
Feb 2019,137
Mar 2019,237.4
Apr 2019,38.8
May 2019,110.4
Jun 2019,96.4
Jul 2019,136
Aug 2019,178.2
Sep 2019,74.4
Oct 2019,159.4
Nov 2019,85.2
Dec 2019,220.8
Jan 2020,319.4
Feb 2020,276.8
Mar 2020,195.4
Apr 2020,20.6



Aug 2020,7
Sep 2020,148.6
Oct 2020,254
Nov 2020,150.6
Dec 2020,197.8
Jan 2021,55.6
Feb 2021,89
Mar 2021,191.2
Apr 2021,78
May 2021,105.4
Jun 2021,18.4
Jul 2021,115.8
Aug 2021,55.2
Sep 2021,61.4
Oct 2021,163
Nov 2021,201.8
Dec 2021,124.4
Jan 2022,173.4
Feb 2022,282
Mar 2022,33.4
Apr 2022,100.4
May 2022,132.6
Jun 2022,58.8
Jul 2022,66
Aug 2022,296.2
Sep 2022,229.6
Oct 2022,648.2
Nov 2022,184
Dec 2022,63



Apr 2023,56.8
May 2023,26.4
Jun 2023,76.2
Jul 2023,147.2
Aug 2023,57
Sep 2023,180.8
Oct 2023,176.8
Nov 2023,135.8
Dec 2023,288.2
Jan 2024,242
Feb 2024,204
Mar 2024,115
Apr 2024,169.6
May 2024,47.4
Jun 2024,127
Jul 2024,50.8
Aug 2024,148.4
Sep 2024,109.4
Oct 2024,121.6
Nov 2024,128
Dec 2024,51.8
Jan 2025,87.9
Feb 2025,73.6
Mar 2025,74
Apr 2025,2
May 2025,101.4
Jun 2025,118
Jul 2025,94
Aug 2025,97.4
