Timestamp,Value
Sep 2015,50.8
Oct 2015,42.2
Nov 2015,92.6
Dec 2015,204
Jan 2016,115.4
Feb 2016,76.2
Mar 2016,60.4
Apr 2016,84.4
May 2016,53.8
Jun 2016,66
Jul 2016,73.2
Aug 2016,61.6
Sep 2016,83.6
Oct 2016,33.2
Nov 2016,55.6
Dec 2016,71.4
Jan 2017,64.2
Feb 2017,43.8
Mar 2017,45.2
Apr 2017,54.8
May 2017,40.2
Jun 2017,111.6
Jul 2017,56.2
Aug 2017,54.4
Sep 2017,102
Oct 2017,52.8
Nov 2017,103
Dec 2017,64
Jan 2018,82.6
Feb 2018,49
Mar 2018,28
Apr 2018,33.8
May 2018,32
Jun 2018,89.6
Jul 2018,58.4
Aug 2018,32.4
Sep 2018,90.8
Oct 2018,80.8
Nov 2018,51
Dec 2018,47.8
Jan 2019,64.8
Feb 2019,61.4
Mar 2019,131.2
Apr 2019,56
May 2019,146
Jun 2019,84.8
Jul 2019,124.2
Aug 2019,142.2
Sep 2019,56.8
Oct 2019,74.2
Nov 2019,79.2
Dec 2019,97.4
Jan 2020,85.4
Feb 2020,178.6
Mar 2020,43.8
Apr 2020,20.4
May 2020,59.4
Jun 2020,117
Jul 2020,99.8
Aug 2020,35.2
Sep 2020,35
Oct 2020,151.4
Nov 2020,60.6
Dec 2020,128
Jan 2021,84.6
Feb 2021,62.4
Mar 2021,74.2
Apr 2021,35.8
May 2021,121
Jun 2021,12.8
Jul 2021,148.6
Aug 2021,69.6
Sep 2021,59
Oct 2021,109.6
Nov 2021,83.6
Dec 2021,59.2
Jan 2022,58.6
Feb 2022,131.6
Mar 2022,89
Apr 2022,65.6
May 2022,1.2
Jun 2022,26.8
Jul 2022,78.4
Aug 2022,46.4
Sep 2022,121.2
Oct 2022,73.6
Nov 2022,56.2
Dec 2022,53
Jan 2023,92.4
Feb 2023,54
Mar 2023,61.2
Apr 2023,45
May 2023,33.4
Jun 2023,36.2
Jul 2023,84
Aug 2023,45.8
Sep 2023,94.4
Oct 2023,144.6
Nov 2023,30.4
Dec 2023,98.2
Jan 2024,91.2
Feb 2024,51.6
Mar 2024,70.6
Apr 2024,90.4
May 2024,42.2
Jun 2024,74.6
Jul 2024,64.4
Aug 2024,42.8
Sep 2024,81.2
Oct 2024,80.8
Nov 2024,56.4
Dec 2024,175.8
Jan 2025,57.6
Feb 2025,44.8
Mar 2025,44.8
Apr 2025,39.6
May 2025,44.2
Jun 2025,42.2
Jul 2025,12
Aug 2025,45.2
