Timestamp,Value
Sep 2015,59.4
Oct 2015,88.4
Nov 2015,262.6
Dec 2015,323.6
Jan 2016,173.8
Feb 2016,123.8
Mar 2016,54.8
Apr 2016,75.8
May 2016,51.2
Jun 2016,91
Jul 2016,144.2
Aug 2016,106.4
Sep 2016,115.2
Oct 2016,37.8
Nov 2016,72.2
Dec 2016,84.4
Jan 2017,61.8
Feb 2017,112
Mar 2017,153.8
Apr 2017,19.2
May 2017,96
Jun 2017,167.8
Jul 2017,194.8
Aug 2017,156
Sep 2017,135.2
Oct 2017,152.9
Nov 2017,101.2
Dec 2017,109.8
Jan 2018,132.2
Feb 2018,69.8
Mar 2018,81.8
Apr 2018,76.6
May 2018,47.8
Jun 2018,80.4
Jul 2018,66.2
Aug 2018,159.4
Sep 2018,136.6
Oct 2018,135
Nov 2018,127
Dec 2018,120.4
Jan 2019,54.6
Feb 2019,92.8
Mar 2019,190.6
Apr 2019,41.4
May 2019,74.8
Jun 2019,74.8
Jul 2019,122.2
Aug 2019,256.6
Sep 2019,230.4
Oct 2019,101
Nov 2019,68
Dec 2019,96
Jan 2020,133.8
Feb 2020,231.8
Mar 2020,82.4
Apr 2020,14
May 2020,33
Jun 2020,155.8
Jul 2020,209.8
Aug 2020,183
Sep 2020,97.8
Oct 2020,172.6
Nov 2020,144.8
Dec 2020,146.6
Jan 2021,104.8
Feb 2021,119.4
Mar 2021,115
Apr 2021,9.8
May 2021,112.6
Jun 2021,29.6
Jul 2021,47.4
Aug 2021,88
Sep 2021,101.6
Oct 2021,250.8
Nov 2021,74.4
Dec 2021,118
Jan 2022,44.6
Feb 2022,170.8
Mar 2022,47.8
Apr 2022,47.4
May 2022,102.2
Jun 2022,68.8
Jul 2022,86.2
Aug 2022,74.6
Sep 2022,113.2
Oct 2022,189.6
Nov 2022,158.8
Dec 2022,109.4
Jan 2023,149.4
Feb 2023,45.8
Mar 2023,167
Apr 2023,57.8
May 2023,43.8
Jun 2023,100.8
Jul 2023,196.2
Aug 2023,74
Sep 2023,139.2
Oct 2023,107.8
Nov 2023,100.6
Dec 2023,232
Jan 2024,146.2
Feb 2024,134.8
Mar 2024,136.8
Apr 2024,124.2
May 2024,100.6
Jun 2024,86.4
Jul 2024,87.2
Aug 2024,269
Sep 2024,57.6
Oct 2024,130.8
Nov 2024,32.8
Dec 2024,128.8
Jan 2025,52.4
Feb 2025,39
Mar 2025,33.6
Apr 2025,36.4
May 2025,85
Jun 2025,194.8
Jul 2025,122.6
Aug 2025,65
